Rating Date,Team,Division,Absolute Ranking
13/11/2022 (v6.2),Columbus Blue Jackets,MET,31.0
13/11/2022 (v6.2),Dallas Stars,CEN,9.0
13/11/2022 (v6.2),Detroit Red Wings,ATL,24.0
13/11/2022 (v6.2),Edmonton Oilers,PAC,8.0
13/11/2022 (v6.2),Florida Panthers,ATL,16.0
13/11/2022 (v6.2),Los Angeles Kings,PAC,10.0
13/11/2022 (v6.2),Minnesota Wild,CEN,20.0
13/11/2022 (v6.2),Montréal Canadiens,ATL,21.0
13/11/2022 (v6.2),Nashville Predators,CEN,27.0
13/11/2022 (v6.2),New Jersey Devils,MET,2.0
13/11/2022 (v6.2),New York Islanders,MET,4.0
13/11/2022 (v6.2),New York Rangers,MET,15.0
13/11/2022 (v6.2),Ottawa Senators,ATL,23.0
13/11/2022 (v6.2),Philadelphia Flyers,MET,12.0
13/11/2022 (v6.2),Pittsburgh Penguins,MET,25.0
13/11/2022 (v6.2),San Jose Sharks,PAC,29.0
13/11/2022 (v6.2),Seattle Kraken,PAC,5.0
13/11/2022 (v6.2),St. Louis Blues,CEN,30.0
13/11/2022 (v6.2),Tampa Bay Lightning,ATL,14.0
13/11/2022 (v6.2),Toronto Maple Leafs,ATL,11.0
13/11/2022 (v6.2),Vancouver Canucks,PAC,28.0
13/11/2022 (v6.2),Vegas Golden Knights,PAC,3.0
13/11/2022 (v6.2),Washington Capitals,MET,18.0
13/11/2022 (v6.2),Winnipeg Jets,CEN,6.0
27/11/2022 (v6.2),Anaheim Ducks,PAC,32.0
27/11/2022 (v6.2),Arizona Coyotes,CEN,25.0
27/11/2022 (v6.2),Boston Bruins,ATL,2.0
27/11/2022 (v6.2),Buffalo Sabres,ATL,21.0
27/11/2022 (v6.2),Calgary Flames,CEN,19.0
27/11/2022 (v6.2),Carolina Hurricanes,MET,17.0
27/11/2022 (v6.2),Chicago Blackhawks,CEN,31.0
27/11/2022 (v6.2),Colorado Avalanche,CEN,6.0
27/11/2022 (v6.2),Columbus Blue Jackets,MET,29.0
27/11/2022 (v6.2),Dallas Stars,CEN,10.0
27/11/2022 (v6.2),Detroit Red Wings,ATL,11.0
27/11/2022 (v6.2),Edmonton Oilers,PAC,14.0
27/11/2022 (v6.2),Florida Panthers,ATL,16.0
27/11/2022 (v6.2),Los Angeles Kings,PAC,13.0
27/11/2022 (v6.2),Minnesota Wild,CEN,23.0
27/11/2022 (v6.2),Montréal Canadiens,ATL,27.0
27/11/2022 (v6.2),Nashville Predators,CEN,22.0
27/11/2022 (v6.2),New Jersey Devils,MET,1.0
27/11/2022 (v6.2),New York Islanders,MET,4.0
27/11/2022 (v6.2),New York Rangers,MET,15.0
27/11/2022 (v6.2),Ottawa Senators,ATL,26.0
27/11/2022 (v6.2),Philadelphia Flyers,MET,30.0
27/11/2022 (v6.2),Pittsburgh Penguins,MET,12.0
27/11/2022 (v6.2),San Jose Sharks,PAC,28.0
27/11/2022 (v6.2),Seattle Kraken,PAC,3.0
27/11/2022 (v6.2),St. Louis Blues,CEN,20.0
27/11/2022 (v6.2),Tampa Bay Lightning,ATL,8.0
27/11/2022 (v6.2),Toronto Maple Leafs,ATL,5.0
27/11/2022 (v6.2),Vancouver Canucks,PAC,18.0
27/11/2022 (v6.2),Vegas Golden Knights,PAC,7.0
27/11/2022 (v6.2),Washington Capitals,MET,24.0
27/11/2022 (v6.2),Winnipeg Jets,CEN,9.0
04/12/2022 (v6.2),Anaheim Ducks,PAC,32.0
04/12/2022 (v6.2),Arizona Coyotes,CEN,29.0
04/12/2022 (v6.2),Boston Bruins,ATL,1.0
04/12/2022 (v6.2),Buffalo Sabres,ATL,24.0
04/12/2022 (v6.2),Calgary Flames,CEN,14.0
04/12/2022 (v6.2),Carolina Hurricanes,MET,13.0
04/12/2022 (v6.2),Chicago Blackhawks,CEN,31.0
04/12/2022 (v6.2),Colorado Avalanche,CEN,11.0
04/12/2022 (v6.2),Columbus Blue Jackets,MET,25.0
04/12/2022 (v6.2),Dallas Stars,CEN,4.0
04/12/2022 (v6.2),Detroit Red Wings,ATL,20.0
04/12/2022 (v6.2),Edmonton Oilers,PAC,12.0
04/12/2022 (v6.2),Florida Panthers,ATL,17.0
04/12/2022 (v6.2),Los Angeles Kings,PAC,19.0
04/12/2022 (v6.2),Minnesota Wild,CEN,15.0
04/12/2022 (v6.2),Montréal Canadiens,ATL,26.0
04/12/2022 (v6.2),Nashville Predators,CEN,16.0
04/12/2022 (v6.2),New Jersey Devils,MET,2.0
04/12/2022 (v6.2),New York Islanders,MET,7.0
04/12/2022 (v6.2),New York Rangers,MET,18.0
04/12/2022 (v6.2),Ottawa Senators,ATL,21.0
04/12/2022 (v6.2),Philadelphia Flyers,MET,28.0
04/12/2022 (v6.2),Pittsburgh Penguins,MET,10.0
04/12/2022 (v6.2),San Jose Sharks,PAC,30.0
04/12/2022 (v6.2),Seattle Kraken,PAC,5.0
04/12/2022 (v6.2),St. Louis Blues,CEN,27.0
04/12/2022 (v6.2),Tampa Bay Lightning,ATL,6.0
04/12/2022 (v6.2),Toronto Maple Leafs,ATL,3.0
04/12/2022 (v6.2),Vancouver Canucks,PAC,22.0
04/12/2022 (v6.2),Vegas Golden Knights,PAC,9.0
04/12/2022 (v6.2),Washington Capitals,MET,23.0
04/12/2022 (v6.2),Winnipeg Jets,CEN,8.0
11/12/2022 (v6.4),Anaheim Ducks,PAC,32.0
