Rating Date,Team,Division,Offensive Rating
04/12/2022 (v6.2),Detroit Red Wings,ATL,0.40760871441024205
04/12/2022 (v6.2),Edmonton Oilers,PAC,0.7507008238130666
04/12/2022 (v6.2),Florida Panthers,ATL,0.7124784634278407
04/12/2022 (v6.2),Los Angeles Kings,PAC,0.7117106050679238
04/12/2022 (v6.2),Minnesota Wild,CEN,0.5009066032792218
04/12/2022 (v6.2),Montréal Canadiens,ATL,0.1957239864813793
04/12/2022 (v6.2),Nashville Predators,CEN,0.1609205785431777
04/12/2022 (v6.2),New Jersey Devils,MET,0.789644154371204
04/12/2022 (v6.2),New York Islanders,MET,0.5238317412098628
04/12/2022 (v6.2),New York Rangers,MET,0.4387986033744027
04/12/2022 (v6.2),Ottawa Senators,ATL,0.6367858319567095
04/12/2022 (v6.2),Philadelphia Flyers,MET,0.06844630731202656
04/12/2022 (v6.2),Pittsburgh Penguins,MET,0.6881923723852198
04/12/2022 (v6.2),San Jose Sharks,PAC,0.25245420798828255
04/12/2022 (v6.2),Seattle Kraken,PAC,0.6824836331771901
04/12/2022 (v6.2),St. Louis Blues,CEN,0.2963204747221815
04/12/2022 (v6.2),Tampa Bay Lightning,ATL,0.7210405636636403
04/12/2022 (v6.2),Toronto Maple Leafs,ATL,0.43153706680441095
04/12/2022 (v6.2),Vancouver Canucks,PAC,0.6017180243675259
04/12/2022 (v6.2),Vegas Golden Knights,PAC,0.7033320298804543
04/12/2022 (v6.2),Washington Capitals,MET,0.2085005132974725
04/12/2022 (v6.2),Winnipeg Jets,CEN,0.4199364003939594
11/12/2022 (v6.4),Anaheim Ducks,PAC,0.11398978821311707
11/12/2022 (v6.4),Arizona Coyotes,CEN,0.11866252697466624
11/12/2022 (v6.4),Boston Bruins,ATL,0.9446795541732103
11/12/2022 (v6.4),Buffalo Sabres,ATL,0.8636286922040061
11/12/2022 (v6.4),Calgary Flames,CEN,0.4913941549759514
11/12/2022 (v6.4),Carolina Hurricanes,MET,0.4115089832469272
11/12/2022 (v6.4),Chicago Blackhawks,CEN,0.14372935179039942
11/12/2022 (v6.4),Colorado Avalanche,CEN,0.6073175901157082
11/12/2022 (v6.4),Columbus Blue Jackets,MET,0.1812387869602546
11/12/2022 (v6.4),Dallas Stars,CEN,0.8063291716994339
11/12/2022 (v6.4),Detroit Red Wings,ATL,0.36232204824464964
11/12/2022 (v6.4),Edmonton Oilers,PAC,0.8160074101513195
11/12/2022 (v6.4),Florida Panthers,ATL,0.7129843216997762
11/12/2022 (v6.4),Los Angeles Kings,PAC,0.6663918163004497
11/12/2022 (v6.4),Minnesota Wild,CEN,0.5092608919688365
11/12/2022 (v6.4),Montréal Canadiens,ATL,0.19524755180313028
11/12/2022 (v6.4),Nashville Predators,CEN,0.14736763577203696
11/12/2022 (v6.4),New Jersey Devils,MET,0.8014644932117698
11/12/2022 (v6.4),New York Islanders,MET,0.5213282733405917
11/12/2022 (v6.4),New York Rangers,MET,0.5077829766260745
11/12/2022 (v6.4),Ottawa Senators,ATL,0.6147047652197517
11/12/2022 (v6.4),Philadelphia Flyers,MET,0.082798904860924
11/12/2022 (v6.4),Pittsburgh Penguins,MET,0.711352202651634
11/12/2022 (v6.4),San Jose Sharks,PAC,0.3720866731923898
11/12/2022 (v6.4),Seattle Kraken,PAC,0.601612219185609
11/12/2022 (v6.4),St. Louis Blues,CEN,0.33947506284860496
11/12/2022 (v6.4),Tampa Bay Lightning,ATL,0.7638929948532952
11/12/2022 (v6.4),Toronto Maple Leafs,ATL,0.566484578429663
11/12/2022 (v6.4),Vancouver Canucks,PAC,0.6995935320715294
11/12/2022 (v6.4),Vegas Golden Knights,PAC,0.5958813214997245
11/12/2022 (v6.4),Washington Capitals,MET,0.28627646395019146
11/12/2022 (v6.4),Winnipeg Jets,CEN,0.5797369280342155
18/12/2022 (v6.4),Anaheim Ducks,PAC,0.10709665275516606
18/12/2022 (v6.4),Arizona Coyotes,CEN,0.15149879752009301
18/12/2022 (v6.4),Boston Bruins,ATL,0.9382747960279738
18/12/2022 (v6.4),Buffalo Sabres,ATL,0.886826699155844
18/12/2022 (v6.4),Calgary Flames,CEN,0.46725668671528675
18/12/2022 (v6.4),Carolina Hurricanes,MET,0.4498754735759123
18/12/2022 (v6.4),Chicago Blackhawks,CEN,0.13423939698772036
18/12/2022 (v6.4),Colorado Avalanche,CEN,0.5866444278446099
18/12/2022 (v6.4),Columbus Blue Jackets,MET,0.15840393614974657
18/12/2022 (v6.4),Dallas Stars,CEN,0.7833645750727348
18/12/2022 (v6.4),Detroit Red Wings,ATL,0.2515499456067727
18/12/2022 (v6.4),Edmonton Oilers,PAC,0.8303417022835865
18/12/2022 (v6.4),Florida Panthers,ATL,0.6931400534700882
18/12/2022 (v6.4),Los Angeles Kings,PAC,0.6255489977904575
18/12/2022 (v6.4),Minnesota Wild,CEN,0.531997952302746
18/12/2022 (v6.4),Montréal Canadiens,ATL,0.13001911258406432
18/12/2022 (v6.4),Nashville Predators,CEN,0.10407790043212677
18/12/2022 (v6.4),New Jersey Devils,MET,0.7367566167706701
