Rating Date,Team,Division,Defensive Rating
04/12/2022 (v6.2),Tampa Bay Lightning,ATL,0.7210405636636403
04/12/2022 (v6.2),Toronto Maple Leafs,ATL,0.43153706680441095
04/12/2022 (v6.2),Vancouver Canucks,PAC,0.6017180243675259
04/12/2022 (v6.2),Vegas Golden Knights,PAC,0.7033320298804543
04/12/2022 (v6.2),Washington Capitals,MET,0.2085005132974725
04/12/2022 (v6.2),Winnipeg Jets,CEN,0.4199364003939594
11/12/2022 (v6.4),Anaheim Ducks,PAC,0.11398978821311707
11/12/2022 (v6.4),Arizona Coyotes,CEN,0.11866252697466624
11/12/2022 (v6.4),Boston Bruins,ATL,0.9446795541732103
11/12/2022 (v6.4),Buffalo Sabres,ATL,0.8636286922040061
11/12/2022 (v6.4),Calgary Flames,CEN,0.4913941549759514
11/12/2022 (v6.4),Carolina Hurricanes,MET,0.4115089832469272
11/12/2022 (v6.4),Chicago Blackhawks,CEN,0.14372935179039942
11/12/2022 (v6.4),Colorado Avalanche,CEN,0.6073175901157082
11/12/2022 (v6.4),Columbus Blue Jackets,MET,0.1812387869602546
11/12/2022 (v6.4),Dallas Stars,CEN,0.8063291716994339
11/12/2022 (v6.4),Detroit Red Wings,ATL,0.36232204824464964
11/12/2022 (v6.4),Edmonton Oilers,PAC,0.8160074101513195
11/12/2022 (v6.4),Florida Panthers,ATL,0.7129843216997762
11/12/2022 (v6.4),Los Angeles Kings,PAC,0.6663918163004497
11/12/2022 (v6.4),Minnesota Wild,CEN,0.5092608919688365
11/12/2022 (v6.4),Montréal Canadiens,ATL,0.19524755180313028
11/12/2022 (v6.4),Nashville Predators,CEN,0.14736763577203696
11/12/2022 (v6.4),New Jersey Devils,MET,0.8014644932117698
11/12/2022 (v6.4),New York Islanders,MET,0.5213282733405917
11/12/2022 (v6.4),New York Rangers,MET,0.5077829766260745
11/12/2022 (v6.4),Ottawa Senators,ATL,0.6147047652197517
11/12/2022 (v6.4),Philadelphia Flyers,MET,0.082798904860924
