Defensemen	Power Play Utilization Base	Team
109 Trevor van Riemsdyk	0.027227011494252874	Washington Capitals
110 Jaccob Slavin	0.02713864306784661	Carolina Hurricanes
111 Alex Goligoski	0.02702702702702703	Minnesota Wild
112 Chris Tanev	0.025584795321637425	Calgary Flames
113 Josh Mahura	0.024862258953168043	Florida Panthers
114 Marcus Pettersson	0.024553571428571428	Pittsburgh Penguins
115 Jamie Drysdale	0.02394736842105263	Anaheim Ducks
116 Nick Perbix	0.02372881355932203	Tampa Bay Lightning
117 Jonas Siegenthaler	0.02361111111111111	New Jersey Devils
118 Timothy Liljegren	0.023470948012232415	Toronto Maple Leafs
119 Nick Leddy	0.022710622710622713	St. Louis Blues
120 Jake Middleton	0.022447447447447446	Minnesota Wild
121 Ben Hutton	0.021666666666666664	Vegas Golden Knights
122 Carson Soucy	0.021632996632996632	Seattle Kraken
123 Adam Pelech	0.021083333333333332	New York Islanders
124 Jon Merrill	0.018693693693693694	Minnesota Wild
125 Mikey Anderson	0.018669250645994832	Los Angeles Kings
126 Connor Clifton	0.018647540983606558	Boston Bruins
127 Justin Holl	0.017966360856269112	Toronto Maple Leafs
128 Marc-Edouard Vlasic	0.017003367003367003	San Jose Sharks
129 Matt Dumba	0.01696696696696697	Minnesota Wild
130 Sean Walker	0.016020671834625324	Los Angeles Kings
131 Nicolas Hague	0.015416666666666667	Vegas Golden Knights
132 Henri Jokiharju	0.015289256198347109	Buffalo Sabres
133 Ryan McDonagh	0.015200617283950616	Nashville Predators
134 Travis Hamonic	0.014728682170542635	Ottawa Senators
135 Luke Schenn	0.014414414414414415	Vancouver Canucks
136 Colin Miller	0.013613861386138614	Dallas Stars
137 Troy Stecher	0.013141025641025641	Arizona Coyotes
138 Brayden McNabb	0.012666666666666666	Vegas Golden Knights
139 Artem Zub	0.012661498708010336	Ottawa Senators
140 Jacob Bryson	0.012603305785123966	Buffalo Sabres
141 Rasmus Ristolainen	0.012297734627831715	Philadelphia Flyers
142 Cody Ceci	0.011895161290322582	Edmonton Oilers
143 Tyler Myers	0.011861861861861861	Vancouver Canucks
144 Erik Gudbranson	0.011434108527131783	Columbus Blue Jackets
145 Radim Simek	0.011363636363636364	San Jose Sharks
146 Jake McCabe	0.011197916666666667	Chicago Blackhawks
147 Nick Blankenburg	0.010755813953488373	Columbus Blue Jackets
148 Connor Murphy	0.010677083333333332	Chicago Blackhawks
149 Jordan Harris	0.010194174757281554	Montréal Canadiens
150 Joel Edmundson	0.01011326860841424	Montréal Canadiens
151 Dante Fabbro	0.009876543209876543	Nashville Predators
152 Erik Cernak	0.00981638418079096	Tampa Bay Lightning
153 Jack Johnson	0.009809027777777778	Chicago Blackhawks
154 Ville Heinola	0.009722222222222222	Winnipeg Jets
155 TJ Brodie	0.009556574923547402	Toronto Maple Leafs
156 Radko Gudas	0.00943526170798898	Florida Panthers
157 Ryan Graves	0.00923202614379085	New Jersey Devils
158 Brian Dumoulin	0.009151785714285713	Pittsburgh Penguins
159 Kyle Capobianco	0.008986928104575164	Winnipeg Jets
160 Colton White	0.008947368421052631	Anaheim Ducks
161 Jaycob Megna	0.008922558922558922	San Jose Sharks
162 David Savard	0.00889967637540453	Montréal Canadiens
163 Braden Schneider	0.008180428134556574	New York Rangers
164 Brenden Dillon	0.008088235294117646	Winnipeg Jets
165 Dmitry Kulikov	0.007543859649122807	Anaheim Ducks
166 Jani Hakanpää	0.007260726072607262	Dallas Stars
167 Alexander Romanov	0.0072499999999999995	New York Islanders
168 Justin Braun	0.007119741100323625	Philadelphia Flyers
169 Andrew Peeke	0.0069767441860465115	Columbus Blue Jackets
170 Will Borgen	0.006818181818181819	Seattle Kraken
171 Ian Cole	0.006779661016949153	Tampa Bay Lightning
172 Matt Roy	0.006718346253229974	Los Angeles Kings
173 Mattias Samuelsson	0.006267217630853994	Buffalo Sabres
174 Ethan Bear	0.0062312312312312315	Vancouver Canucks
175 Dylan DeMelo	0.006045751633986928	Winnipeg Jets
176 Brett Kulak	0.005981182795698925	Edmonton Oilers
177 Tim Berni	0.005717054263565891	Columbus Blue Jackets
178 Jamie Oleksiak	0.005555555555555556	Seattle Kraken
179 Kale Clague	0.005509641873278236	Buffalo Sabres
180 Victor Mete	0.005504587155963302	Toronto Maple Leafs
181 Esa Lindell	0.005363036303630363	Dallas Stars
182 Olli Maatta	0.005244252873563219	Detroit Red Wings
183 Martin Fehervary	0.005028735632183908	Washington Capitals
184 Ryan Lindgren	0.004969418960244648	New York Rangers
185 Brendan Smith	0.004901960784313725	New Jersey Devils
186 Jordie Benn	0.004892966360856269	Toronto Maple Leafs
187 Cale Fleury	0.004882154882154882	Seattle Kraken
188 Derek Forbort	0.0047814207650273225	Boston Bruins
189 Jeremy Lauzon	0.004629629629629629	Nashville Predators
190 Robert Hagg	0.004454022988505748	Detroit Red Wings
191 Marc Staal	0.004407713498622589	Florida Panthers
192 Alexander Edler	0.004392764857881137	Los Angeles Kings
193 Nick Jensen	0.004310344827586207	Washington Capitals
194 Jan Rutta	0.004166666666666667	Pittsburgh Penguins
195 Johnathan Kovacevic	0.004045307443365696	Montréal Canadiens
196 Josh Brown	0.0036858974358974362	Arizona Coyotes
197 Niko Mikkola	0.0035714285714285718	St. Louis Blues
198 Kevin Bahl	0.00326797385620915	New Jersey Devils
199 Nick Holden	0.003165374677002584	Ottawa Senators
200 Riley Stillman	0.002852852852852853	Vancouver Canucks
201 Scott Mayfield	0.0026666666666666666	New York Islanders
202 Urho Vaakanainen	0.002631578947368421	Anaheim Ducks
203 Scott Harrington	0.0026094276094276096	San Jose Sharks
204 Simon Benoit	0.002368421052631579	Anaheim Ducks
205 Gustav Lindstrom	0.0022988505747126436	Detroit Red Wings
206 Nick Seeler	0.0022653721682847896	Philadelphia Flyers
207 Kyle Burroughs	0.0022522522522522522	Vancouver Canucks
208 Patrik Nemeth	0.0022435897435897434	Arizona Coyotes
209 Jarred Tinordi	0.002170138888888889	Chicago Blackhawks
210 Philip Broberg	0.0020833333333333337	Edmonton Oilers
211 Jalen Chatfield	0.002064896755162242	Carolina Hurricanes
