Defensemen	Points Base	Team
108 Ivan Provorov	0.0160862448495795	Philadelphia Flyers
109 Colin Miller	0.015954509194297285	Dallas Stars
110 Ben Harpur	0.015682174594877158	New York Rangers
111 Ryan Lindgren	0.01568012544100353	New York Rangers
112 Marc-Edouard Vlasic	0.015569683601786807	San Jose Sharks
113 Connor Clifton	0.01540803785975017	Boston Bruins
114 Ryan Pulock	0.015319556371180083	New York Islanders
115 Sebastian Aho	0.01522230913972811	New York Islanders
116 Ethan Bear	0.015189873417721518	Vancouver Canucks
117 Damon Severson	0.015169647221426283	New Jersey Devils
118 Brenden Dillon	0.015113096337592988	Winnipeg Jets
119 Jon Merrill	0.015009005403241946	Minnesota Wild
120 Jake Muzzin	0.014958863126402395	Toronto Maple Leafs
121 Jaccob Slavin	0.01485663348685188	Carolina Hurricanes
122 MacKenzie Weegar	0.014761842277916284	Calgary Flames
123 Josh Mahura	0.014747614685049048	Florida Panthers
124 Esa Lindell	0.014742980703076369	Dallas Stars
125 Alexander Romanov	0.01466419004790302	New York Islanders
126 Caleb Jones	0.014639502256923264	Chicago Blackhawks
127 David Savard	0.01452755190573233	Montréal Canadiens
128 Travis Sanheim	0.014482026196376275	Philadelphia Flyers
129 Kevin Shattenkirk	0.014111006585136407	Anaheim Ducks
130 Jamie Oleksiak	0.014009467003459914	Seattle Kraken
131 Brayden McNabb	0.013970429258070417	Vegas Golden Knights
132 Dylan Samberg	0.013957951670592342	Winnipeg Jets
133 Nate Schmidt	0.013929340255793338	Winnipeg Jets
134 Victor Mete	0.013908205841446452	Toronto Maple Leafs
135 Colton Parayko	0.013711987324029496	St. Louis Blues
136 Jalen Chatfield	0.013686478266379419	Carolina Hurricanes
137 Jonas Siegenthaler	0.013634592910011687	New Jersey Devils
138 Artem Zub	0.013585931013661408	Ottawa Senators
139 TJ Brodie	0.013512372265855926	Toronto Maple Leafs
140 Marcus Pettersson	0.013485010891739566	Pittsburgh Penguins
141 Jacob Trouba	0.01347730518074029	New York Rangers
142 Nikita Zadorov	0.013440165417420522	Calgary Flames
143 Nick Leddy	0.013332421714754546	St. Louis Blues
144 Sean Walker	0.01328838250855132	Los Angeles Kings
145 Jake Walman	0.01325161504058307	Detroit Red Wings
146 Martin Fehervary	0.013223140495867768	Washington Capitals
147 John Marino	0.013185203271883774	New Jersey Devils
148 Jaycob Megna	0.013120489831620381	San Jose Sharks
149 Nick Seeler	0.013109659877157632	Philadelphia Flyers
150 Jacob Bryson	0.013049861345223207	Buffalo Sabres
151 Philip Broberg	0.013013772909662727	Edmonton Oilers
152 Ben Chiarot	0.012986796756630758	Detroit Red Wings
153 Jordan Harris	0.012977309371190373	Montréal Canadiens
154 Nathan Beaulieu	0.01294568207562436	Anaheim Ducks
155 Trevor van Riemsdyk	0.012903225806451613	Washington Capitals
156 Ryan McDonagh	0.01280335215038119	Nashville Predators
157 Matt Dumba	0.012548582184499016	Minnesota Wild
158 Nick Holden	0.012468540026322472	Ottawa Senators
159 Brett Kulak	0.012359087674618928	Edmonton Oilers
160 Filip Roos	0.012260745180845991	Chicago Blackhawks
161 Ryan Suter	0.01225393932729015	Dallas Stars
162 Nicolas Hague	0.012236498136715056	Vegas Golden Knights
163 Alexander Alexeyev	0.012046983234614998	Washington Capitals
164 Brian Dumoulin	0.012039731112671816	Pittsburgh Penguins
165 Zach Whitecloud	0.01200960768614892	Vegas Golden Knights
166 Jarred Tinordi	0.011922266820331439	Chicago Blackhawks
167 Radko Gudas	0.011822401261056135	Florida Panthers
168 Erik Cernak	0.011622050904582962	Tampa Bay Lightning
169 Derek Forbort	0.01151603848276193	Boston Bruins
170 Tobias Bjornfot	0.011505273250239692	Los Angeles Kings
171 Scott Mayfield	0.011312217194570135	New York Islanders
172 Rasmus Ristolainen	0.01128526645768025	Philadelphia Flyers
173 Henri Jokiharju	0.01108374384236453	Buffalo Sabres
174 Alexandre Carrier	0.011064241753682319	Nashville Predators
175 Dante Fabbro	0.011027638017782065	Nashville Predators
176 Kevin Bahl	0.010859728506787332	New Jersey Devils
177 Jack Rathbone	0.010806916426512969	Vancouver Canucks
178 Jan Rutta	0.010672595886603669	Pittsburgh Penguins
179 Mikey Anderson	0.010578279266572637	Los Angeles Kings
180 Jordie Benn	0.010547596027072163	Toronto Maple Leafs
181 Dennis Gilbert	0.010491344640671446	Calgary Flames
182 Tyler Myers	0.010471386935199566	Vancouver Canucks
183 Kyle Capobianco	0.01025115325474116	Winnipeg Jets
184 Carson Soucy	0.010229088971763452	Seattle Kraken
185 Dmitry Kulikov	0.010105773765411306	Anaheim Ducks
186 Chris Tanev	0.010075143780697704	Calgary Flames
187 Erik Gudbranson	0.010037641154328732	Columbus Blue Jackets
188 Casey Fitzgerald	0.009992782990062734	Florida Panthers
189 Chris Wideman	0.009909575126966432	Montréal Canadiens
190 Cal Foote	0.009903169014084508	Tampa Bay Lightning
191 Robert Hagg	0.009792720744246777	Detroit Red Wings
192 Brandon Carlo	0.009579691054963478	Boston Bruins
193 Andreas Englund	0.009533898305084745	Colorado Avalanche
194 Justin Holl	0.009424922637093354	Toronto Maple Leafs
195 Vladislav Gavrikov	0.00934375681315601	Columbus Blue Jackets
196 Ben Hutton	0.009333195063776833	Vegas Golden Knights
197 Alex Goligoski	0.009272614877395426	Minnesota Wild
198 Jeremy Lauzon	0.00914866581956798	Nashville Predators
199 Jani Hakanpää	0.009139684850126093	Dallas Stars
200 Alec Martinez	0.009112136226436585	Vegas Golden Knights
201 Alexander Edler	0.008982932428386067	Los Angeles Kings
202 Mario Ferraro	0.008970788868746145	San Jose Sharks
203 Travis Hamonic	0.008680555555555556	Ottawa Senators
204 Jake Middleton	0.00831008488158129	Minnesota Wild
205 Logan Stanley	0.008192244675040962	Winnipeg Jets
206 Nikita Zaitsev	0.00814442785394326	Ottawa Senators
207 Erik Johnson	0.008115314758279552	Colorado Avalanche
208 Riley Stillman	0.008092433574607743	Vancouver Canucks
209 Johnathan Kovacevic	0.00795562529004884	Montréal Canadiens
210 Colton White	0.007867820613690008	Anaheim Ducks
211 Joel Edmundson	0.007753607581305191	Montréal Canadiens
212 Connor Murphy	0.007638169021768781	Chicago Blackhawks
213 Jordan Oesterle	0.007630432709121546	Detroit Red Wings
214 Jonas Brodin	0.007617942067364374	Minnesota Wild
215 Cale Fleury	0.007598784194528876	Seattle Kraken
216 Andrew Peeke	0.007262792024762662	Columbus Blue Jackets
217 Mark Friedman	0.007262164124909223	Pittsburgh Penguins
218 Josh Brown	0.007242877836793819	Arizona Coyotes
219 Simon Benoit	0.007176890412870557	Anaheim Ducks
220 Cody Ceci	0.006966098321502023	Edmonton Oilers
221 Gustav Lindstrom	0.006949270326615705	Detroit Red Wings
222 Brendan Smith	0.006722538430511361	New Jersey Devils
223 Mattias Samuelsson	0.006638930689563601	Buffalo Sabres
224 Travis Dermott	0.006611570247933884	Vancouver Canucks
225 Jacob MacDonald	0.006357279084551811	San Jose Sharks
226 Parker Wotherspoon	0.006253256904637833	New York Islanders
227 Kale Clague	0.006224066390041494	Buffalo Sabres
228 Erik Brannstrom	0.0059783285589737195	Ottawa Senators
229 Kyle Burroughs	0.005585292064230859	Vancouver Canucks
230 Jakub Zboril	0.005459011918842689	Boston Bruins
231 Marc Staal	0.005297451925623775	Florida Panthers
232 Troy Stecher	0.005067246584886937	Arizona Coyotes
233 Libor Hajek	0.0047136460051850106	New York Rangers
234 Matt Irwin	0.004400924194080757	Washington Capitals
235 Radim Simek	0.00437956204379562	San Jose Sharks
236 Patrik Nemeth	0.004343524528848243	Arizona Coyotes
237 Jack Johnson	0.004248088360237893	Chicago Blackhawks
238 Haydn Fleury	0.004125696211235646	Tampa Bay Lightning
239 Niko Mikkola	0.003683241252302026	St. Louis Blues
240 Zach Bogosian	0.0029235491887151	Tampa Bay Lightning
241 Urho Vaakanainen	0.002722940776038121	Anaheim Ducks
242 Robert Bortuzzo	0.002692514808831449	St. Louis Blues
243 Chad Ruhwedel	0.0023667705415959923	Pittsburgh Penguins
244 Tim Berni	0.002142857142857143	Columbus Blue Jackets
245 Jamie Drysdale	0.0	Anaheim Ducks
246 Anton Stralman	0.0	Boston Bruins
247 Joel Hanley	0.0	Dallas Stars
248 Mark Borowiecki	0.0	Nashville Predators
249 Samuel Bolduc	0.0	New York Islanders
250 Justin Braun	0.0	Philadelphia Flyers
