Defensemen	Power Play Utilization Corrected	Team
109 Chris Tanev	0.2864773117342656	Calgary Flames
110 Cam York	0.2850731731408521	Philadelphia Flyers
111 Jamie Drysdale	0.28425976854156204	Anaheim Ducks
112 Jonas Siegenthaler	0.28420954789155145	New Jersey Devils
113 Jaccob Slavin	0.28411863569546886	Carolina Hurricanes
114 Josh Mahura	0.28378109657116635	Florida Panthers
115 Marcus Pettersson	0.2823480049715632	Pittsburgh Penguins
116 Timothy Liljegren	0.28216633949987996	Toronto Maple Leafs
117 Ben Hutton	0.2784204298454025	Vegas Golden Knights
118 Nick Leddy	0.27802135105779324	St. Louis Blues
119 Jake Middleton	0.27712424840206595	Minnesota Wild
120 Adam Pelech	0.2764783659345702	New York Islanders
121 Jon Merrill	0.2712316291531929	Minnesota Wild
122 Marc-Edouard Vlasic	0.2701533690884945	San Jose Sharks
123 Connor Clifton	0.26963957564666946	Boston Bruins
124 Carson Soucy	0.26803379664165533	Seattle Kraken
125 Justin Holl	0.26733830011094734	Toronto Maple Leafs
126 Sean Walker	0.2664531220284637	Los Angeles Kings
127 Nicolas Hague	0.26378931416925705	Vegas Golden Knights
128 Ryan McDonagh	0.26227741118045184	Nashville Predators
129 Henri Jokiharju	0.2618474970063596	Buffalo Sabres
130 Matt Dumba	0.26171027659520496	Minnesota Wild
131 Troy Stecher	0.26123596413638134	Arizona Coyotes
132 Artem Zub	0.2598896521645526	Ottawa Senators
133 Luke Schenn	0.25987998776124316	Vancouver Canucks
134 Colin Miller	0.2596239660563271	Dallas Stars
135 Radim Simek	0.2566035781787887	San Jose Sharks
136 Jacob Bryson	0.2560277169564697	Buffalo Sabres
137 Mikey Anderson	0.2557622366860386	Los Angeles Kings
138 Rasmus Ristolainen	0.2547907590625807	Philadelphia Flyers
139 Jake McCabe	0.25462826933830335	Chicago Blackhawks
140 Brayden McNabb	0.25393951240430784	Vegas Golden Knights
141 Connor Murphy	0.2534387642215155	Chicago Blackhawks
142 Nick Blankenburg	0.25275418312241776	Columbus Blue Jackets
143 Jordan Harris	0.25237135262815147	Montréal Canadiens
144 Erik Cernak	0.25132055098868955	Tampa Bay Lightning
145 Travis Hamonic	0.2507480139118523	Ottawa Senators
146 Tyler Myers	0.25026689451713563	Vancouver Canucks
147 Radko Gudas	0.2494513615784683	Florida Panthers
148 David Savard	0.2494350393545378	Montréal Canadiens
149 Colton White	0.24930448723561352	Anaheim Ducks
150 Joel Edmundson	0.24925227916836612	Montréal Canadiens
151 Dante Fabbro	0.24910281465498288	Nashville Predators
152 Cody Ceci	0.24821832875308536	Edmonton Oilers
153 Erik Gudbranson	0.24768143801345963	Columbus Blue Jackets
154 Braden Schneider	0.2474802147975976	New York Rangers
155 Ryan Graves	0.24726416251789693	New Jersey Devils
156 Brian Dumoulin	0.24712916518876715	Pittsburgh Penguins
157 Jack Johnson	0.24676785377776622	Chicago Blackhawks
158 Justin Braun	0.2457968590057541	Philadelphia Flyers
159 Dmitry Kulikov	0.2456029694174231	Anaheim Ducks
160 Andrew Peeke	0.24454585515952865	Columbus Blue Jackets
161 TJ Brodie	0.24380749644664337	Toronto Maple Leafs
162 Alexander Romanov	0.24363119322145962	New York Islanders
163 Ian Cole	0.24298816639842855	Tampa Bay Lightning
164 Will Borgen	0.24297465086965994	Seattle Kraken
165 Jani Hakanpaa	0.24273265919510195	Dallas Stars
166 Ethan Bear	0.24252060773488227	Vancouver Canucks
167 Matt Roy	0.24200093198194753	Los Angeles Kings
168 Dylan DeMelo	0.24165739425604071	Winnipeg Jets
169 Victor Mete	0.241500399955133	Toronto Maple Leafs
170 Olli Maatta	0.24130854423171136	Detroit Red Wings
171 Esa Lindell	0.24129969464042741	Dallas Stars
172 Brenden Dillon	0.24112098028993148	Winnipeg Jets
173 Ryan Lindgren	0.24046217737522205	New York Rangers
174 Derek Forbort	0.24040702632577543	Boston Bruins
175 Tim Berni	0.24040702632577543	Columbus Blue Jackets
176 Martin Fehervary	0.24030611189294346	Washington Capitals
177 Jordie Benn	0.24018875807877058	Toronto Maple Leafs
178 Robert Hagg	0.2395606442636087	Detroit Red Wings
179 Alexander Edler	0.23954065319736798	Los Angeles Kings
180 Jeremy Lauzon	0.23943578373355226	Nashville Predators
181 Mattias Samuelsson	0.2388012072712161	Buffalo Sabres
182 Nick Jensen	0.2387958727973398	Washington Capitals
183 Jaycob Megna	0.23876496181524987	San Jose Sharks
184 Johnathan Kovacevic	0.23862847116366656	Montréal Canadiens
185 Marc Staal	0.238596793496444	Florida Panthers
186 Jamie Oleksiak	0.23826228848564263	Seattle Kraken
187 Brett Kulak	0.23789007811994015	Edmonton Oilers
188 Niko Mikkola	0.23764180860784961	St. Louis Blues
189 Nick Cicek	0.23713061179691694	San Jose Sharks
190 Jan Rutta	0.23660692529095861	Pittsburgh Penguins
191 Simon Benoit	0.23491046146873334	Anaheim Ducks
192 Josh Brown	0.23491046146873334	Arizona Coyotes
193 Nick Seeler	0.23485918528611635	Philadelphia Flyers
194 Gustav Lindstrom	0.23483786480077215	Detroit Red Wings
195 Kyle Burroughs	0.23461999901091807	Vancouver Canucks
196 Riley Stillman	0.23461999901091807	Vancouver Canucks
197 Jarred Tinordi	0.23453461628999844	Chicago Blackhawks
198 Jalen Chatfield	0.2344891475541709	Carolina Hurricanes
199 Philip Broberg	0.23436770792664777	Edmonton Oilers
200 Nick Perbix	0.23408703858479923	Tampa Bay Lightning
201 Nick Holden	0.23400701118953907	Ottawa Senators
202 Dysin Mayo	0.23397163098531815	Arizona Coyotes
203 Gavin Bayreuther	0.23368328491557985	Columbus Blue Jackets
204 Urho Vaakanainen	0.23359682927391232	Anaheim Ducks
205 Patrik Nemeth	0.23359682927391232	Arizona Coyotes
206 Jake Walman	0.23358941167400665	Detroit Red Wings
207 Cale Fleury	0.23344214173124497	Seattle Kraken
208 Scott Mayfield	0.2333471934607599	New York Islanders
209 Dylan Samberg	0.2333471934607599	Winnipeg Jets
210 Erik Johnson	0.2332926103710112	Colorado Avalanche
211 Brendan Smith	0.23320983275390153	New Jersey Devils
212 Mac Hollowell	0.23306212270179497	Toronto Maple Leafs
213 Brandon Carlo	0.2326990092179929	Boston Bruins
214 Zach Whitecloud	0.232680540094114	Vegas Golden Knights
215 Kyle Capobianco	0.23247493024092294	Winnipeg Jets
216 Joel Hanley	0.2323007506161949	Dallas Stars
217 Tucker Poolman	0.23192103834527197	Vancouver Canucks
218 Nathan Beaulieu	0.23172908714974194	Anaheim Ducks
219 Tobias Bjornfot	0.23169888554316692	Los Angeles Kings
220 Calle Rosen	0.2316489378653646	St. Louis Blues
221 Josh Manson	0.2314963541844719	Colorado Avalanche
222 Jakub Zboril	0.2313567928263611	Boston Bruins
223 Maxime Lajoie	0.2313489595465592	Carolina Hurricanes
