Defensemen	Even Strength Utilization Base	Team
110 Ian Cole	0.24488715277777778	Tampa Bay Lightning
111 Nate Schmidt	0.2439057239057239	Winnipeg Jets
112 Nils Lundkvist	0.24339869281045753	Dallas Stars
113 Jan Rutta	0.24291245791245789	Pittsburgh Penguins
114 Carson Soucy	0.242734375	Seattle Kraken
115 Dante Fabbro	0.2425448028673835	Nashville Predators
116 Trevor van Riemsdyk	0.24252380952380953	Washington Capitals
117 Matt Grzelcyk	0.2419791666666667	Boston Bruins
118 John Carlson	0.24016666666666667	Washington Capitals
119 Dylan DeMelo	0.23714646464646466	Winnipeg Jets
120 Braden Schneider	0.237015873015873	New York Rangers
121 Adam Pelech	0.2346078431372549	New York Islanders
122 Johnathan Kovacevic	0.23257575757575757	Montréal Canadiens
123 Will Borgen	0.23098958333333333	Seattle Kraken
124 Alex Pietrangelo	0.22966666666666669	Vegas Golden Knights
125 Niko Mikkola	0.22962121212121211	St. Louis Blues
126 Martin Fehervary	0.2289047619047619	Washington Capitals
127 Troy Stecher	0.2288888888888889	Arizona Coyotes
128 Simon Benoit	0.22727124183006536	Anaheim Ducks
129 Arber Xhekaj	0.22705387205387206	Montréal Canadiens
130 Justin Braun	0.22561274509803922	Philadelphia Flyers
131 Josh Mahura	0.22527777777777777	Florida Panthers
132 David Savard	0.22332491582491582	Montréal Canadiens
133 Erik Brannstrom	0.22303872053872054	Ottawa Senators
134 Mario Ferraro	0.22258730158730158	San Jose Sharks
135 Ryan McDonagh	0.22230286738351254	Nashville Predators
136 Sebastian Aho	0.22048202614379087	New York Islanders
137 Rasmus Ristolainen	0.2204656862745098	Philadelphia Flyers
138 Brandon Carlo	0.21963541666666667	Boston Bruins
139 Seth Jones	0.21421146953405018	Chicago Blackhawks
140 Zach Whitecloud	0.21379365079365079	Vegas Golden Knights
141 Jon Merrill	0.21313973063973063	Minnesota Wild
142 Kevin Shattenkirk	0.21281862745098037	Anaheim Ducks
143 Brendan Smith	0.21215488215488215	New Jersey Devils
144 Chris Tanev	0.21119281045751634	Calgary Flames
145 Nick Seeler	0.2108251633986928	Philadelphia Flyers
146 Nick Perbix	0.20739583333333333	Tampa Bay Lightning
147 Aaron Ekblad	0.20698529411764705	Florida Panthers
148 Jamie Oleksiak	0.206484375	Seattle Kraken
149 Alexandre Carrier	0.20629928315412185	Nashville Predators
150 Jalen Chatfield	0.20536195286195286	Carolina Hurricanes
151 Calen Addison	0.2047138047138047	Minnesota Wild
152 Caleb Jones	0.20454301075268816	Chicago Blackhawks
153 Josh Brown	0.20440860215053763	Arizona Coyotes
154 Pierre-Olivier Joseph	0.20386363636363636	Pittsburgh Penguins
155 Jarred Tinordi	0.2029301075268817	Chicago Blackhawks
156 TJ Brodie	0.19733660130718955	Toronto Maple Leafs
157 Alexander Edler	0.19696759259259258	Los Angeles Kings
158 Juuso Valimaki	0.19447132616487453	Arizona Coyotes
159 Radko Gudas	0.19433823529411764	Florida Panthers
160 Jacob Bryson	0.19375868055555553	Buffalo Sabres
161 Ethan Bear	0.1908159722222222	Vancouver Canucks
162 Radim Simek	0.19023809523809523	San Jose Sharks
163 Timothy Liljegren	0.18996732026143792	Toronto Maple Leafs
164 Nick Holden	0.1882996632996633	Ottawa Senators
165 Mattias Samuelsson	0.1861111111111111	Buffalo Sabres
166 Joel Edmundson	0.18534511784511784	Montréal Canadiens
167 Sean Walker	0.18444444444444444	Los Angeles Kings
168 Morgan Rielly	0.1797058823529412	Toronto Maple Leafs
169 Patrik Nemeth	0.17766129032258063	Arizona Coyotes
170 Jeremy Lauzon	0.17617383512544804	Nashville Predators
