Defensemen	Penalty Kill Utilization Corrected	Team
109 Ryan Suter	0.640097133128748	Dallas Stars
110 Olli Maatta	0.6284059725534378	Detroit Red Wings
111 Rasmus Dahlin	0.6058306274750541	Buffalo Sabres
112 Kevin Shattenkirk	0.6055878599896924	Anaheim Ducks
113 MacKenzie Weegar	0.6046415165475264	Calgary Flames
114 Henri Jokiharju	0.5839975294302651	Buffalo Sabres
115 Ilya Lyubushkin	0.5750275312392776	Buffalo Sabres
116 Alexandre Carrier	0.5701154131229669	Nashville Predators
117 Josh Manson	0.5652910511340474	Colorado Avalanche
118 Martin Fehervary	0.5613651584608615	Washington Capitals
119 Dylan Samberg	0.5550556837119898	Winnipeg Jets
120 Jarred Tinordi	0.5474223054273768	Chicago Blackhawks
121 Jeremy Lauzon	0.5451474832306732	Nashville Predators
122 Jacob Bryson	0.5358928232286869	Buffalo Sabres
123 Rasmus Ristolainen	0.525829521775818	Philadelphia Flyers
124 Robert Bortuzzo	0.5232266706220406	St. Louis Blues
125 Ethan Bear	0.5162442545864493	Vancouver Canucks
126 Dante Fabbro	0.4993201167972032	Nashville Predators
127 Sean Durzi	0.48059539788448474	Los Angeles Kings
128 Charlie McAvoy	0.4747764168464789	Boston Bruins
129 Nikita Zaitsev	0.47119442655769933	Ottawa Senators
130 Dmitry Orlov	0.45975537243997905	Washington Capitals
131 Jordan Harris	0.4572827477540646	Montréal Canadiens
132 Neal Pionk	0.45068777493829204	Winnipeg Jets
133 Brandon Montour	0.4298389597785715	Florida Panthers
134 Timothy Liljegren	0.4202496024847046	Toronto Maple Leafs
135 Brendan Smith	0.41670003294023905	New Jersey Devils
136 Oliver Ekman-Larsson	0.3953756720046793	Vancouver Canucks
137 Erik Brannstrom	0.39263370529677427	Ottawa Senators
138 Vince Dunn	0.3923312366438248	Seattle Kraken
139 Quinn Hughes	0.382700518974765	Vancouver Canucks
140 Radim Simek	0.3763487980666867	San Jose Sharks
141 Morgan Rielly	0.3739466126929995	Toronto Maple Leafs
142 Alexander Edler	0.3622199687533251	Los Angeles Kings
143 Casey Fitzgerald	0.3619440130597191	Buffalo Sabres
144 Damon Severson	0.35582970800332125	New Jersey Devils
145 Evan Bouchard	0.35464442212886993	Edmonton Oilers
146 Kyle Burroughs	0.3506175621162359	Vancouver Canucks
147 Owen Power	0.3425643623589165	Buffalo Sabres
148 Roman Josi	0.3413391332070464	Nashville Predators
149 Jon Merrill	0.336961516681785	Minnesota Wild
150 Braden Schneider	0.3239095206559334	New York Rangers
151 Artem Zub	0.3233797015294159	Ottawa Senators
152 Tyson Barrie	0.3175041347489979	Edmonton Oilers
153 Nathan Beaulieu	0.3130764475843952	Anaheim Ducks
154 Riley Stillman	0.265429279782068	Vancouver Canucks
155 Jalen Chatfield	0.2651836372844513	Carolina Hurricanes
156 Nicolas Hague	0.26153588944466455	Vegas Golden Knights
157 Jakub Zboril	0.26020546938197575	Boston Bruins
158 Sean Walker	0.2478257410705334	Los Angeles Kings
159 Alex Goligoski	0.2438041187945221	Minnesota Wild
160 Nick Seeler	0.21419168476110356	Philadelphia Flyers
161 Colin Miller	0.2021510321940717	Dallas Stars
162 Mike Matheson	0.1985265775866108	Montréal Canadiens
163 Matt Irwin	0.19683600919673838	Washington Capitals
164 Robert Hagg	0.19450134860842763	Detroit Red Wings
165 Shayne Gostisbehere	0.19450040234457436	Arizona Coyotes
166 Dysin Mayo	0.19424636230372838	Arizona Coyotes
167 Kris Letang	0.19260922371964156	Pittsburgh Penguins
168 Josh Morrissey	0.18887209591790724	Winnipeg Jets
169 Caleb Jones	0.1874041585051695	Chicago Blackhawks
170 Logan Stanley	0.18701847607275132	Winnipeg Jets
171 Noah Dobson	0.18498997089482513	New York Islanders
172 Calle Rosen	0.18343438619525443	St. Louis Blues
173 Zach Werenski	0.18324660936319823	Columbus Blue Jackets
174 Haydn Fleury	0.17741952211036427	Tampa Bay Lightning
175 Gavin Bayreuther	0.1729747711846087	Columbus Blue Jackets
176 Cal Foote	0.17192287384247018	Tampa Bay Lightning
177 Bowen Byram	0.17187252206582707	Colorado Avalanche
178 Josh Mahura	0.17040819939644364	Florida Panthers
179 Lawrence Pilut	0.17029830439630744	Buffalo Sabres
180 Dougie Hamilton	0.1680023990744426	New Jersey Devils
181 Jake Muzzin	0.16677279514689908	Toronto Maple Leafs
182 Chad Ruhwedel	0.16546038722034928	Pittsburgh Penguins
183 Jordie Benn	0.16355388916210503	Toronto Maple Leafs
184 Victor Mete	0.15508703092218676	Toronto Maple Leafs
185 Samuel Girard	0.1537995912439925	Colorado Avalanche
186 Erik Karlsson	0.15189706237141937	San Jose Sharks
187 Ryan Murray	0.14255430014008388	Edmonton Oilers
188 Nick Blankenburg	0.1368835315911348	Columbus Blue Jackets
189 Philip Broberg	0.13680821577490593	Edmonton Oilers
190 Jordan Oesterle	0.1344244440023088	Detroit Red Wings
191 Calvin de Haan	0.13440527082548057	Carolina Hurricanes
192 Colton White	0.13327873179168437	Anaheim Ducks
193 Anton Stralman	0.13315495346414563	Boston Bruins
194 Michael Stone	0.1326699269407732	Calgary Flames
195 Jamie Drysdale	0.1309808022533611	Anaheim Ducks
196 Jake Walman	0.1309762059998388	Detroit Red Wings
197 Rasmus Sandin	0.12950332244725724	Toronto Maple Leafs
198 Erik Gustafsson	0.125778684171071	Washington Capitals
199 Andreas Englund	0.12339560080338412	Colorado Avalanche
200 Nick Cicek	0.12295102031009708	San Jose Sharks
201 Arber Xhekaj	0.12210650912693469	Montréal Canadiens
202 Matt Grzelcyk	0.12093848146233833	Boston Bruins
