Defensemen	Even Strength Utilization Corrected	Team
109 Trevor van Riemsdyk	0.684714102602651	Washington Capitals
110 Jordan Harris	0.6833925319035672	Montréal Canadiens
111 Carson Soucy	0.6827214481522628	Seattle Kraken
112 Ian Cole	0.6822820310951767	Tampa Bay Lightning
113 Erik Cernak	0.6811086650148117	Tampa Bay Lightning
114 Dante Fabbro	0.6763738060253207	Nashville Predators
115 Nils Lundkvist	0.6740587805662129	Dallas Stars
116 Jan Rutta	0.6729963294694835	Pittsburgh Penguins
117 Adam Pelech	0.672557304251657	New York Islanders
118 Matt Grzelcyk	0.6685016947115693	Boston Bruins
119 Braden Schneider	0.6595293563018493	New York Rangers
120 John Carlson	0.6574851417803738	Washington Capitals
121 Dylan DeMelo	0.6474455688074764	Winnipeg Jets
122 Martin Fehervary	0.6468254632740102	Washington Capitals
123 Will Borgen	0.632174197790379	Seattle Kraken
124 David Savard	0.62352371840512	Montréal Canadiens
125 Troy Stecher	0.6234904131609119	Arizona Coyotes
126 Erik Brannstrom	0.6222162554071055	Ottawa Senators
127 Niko Mikkola	0.620497073482019	St. Louis Blues
128 Johnathan Kovacevic	0.6195960060455606	Montréal Canadiens
129 Alex Pietrangelo	0.6099701647366065	Vegas Golden Knights
130 Simon Benoit	0.6078965979759089	Anaheim Ducks
131 Justin Braun	0.6070638480538963	Philadelphia Flyers
132 Arber Xhekaj	0.6068224232283808	Montréal Canadiens
133 Josh Mahura	0.6049792573380475	Florida Panthers
134 Mario Ferraro	0.5857495288296297	San Jose Sharks
135 Ryan McDonagh	0.5785562035166925	Nashville Predators
136 Zach Whitecloud	0.5773134587888469	Vegas Golden Knights
137 Rasmus Ristolainen	0.572397746478621	Philadelphia Flyers
138 Sebastian Aho	0.5675341632275444	New York Islanders
139 Brandon Carlo	0.566884260402786	Boston Bruins
140 Nick Seeler	0.564063283823049	Philadelphia Flyers
141 Jon Merrill	0.5494243368533044	Minnesota Wild
142 Caleb Jones	0.5367571673812104	Chicago Blackhawks
143 Kevin Shattenkirk	0.5355846593303023	Anaheim Ducks
144 Jarred Tinordi	0.5289333922648276	Chicago Blackhawks
145 Seth Jones	0.5263221131411382	Chicago Blackhawks
146 Calen Addison	0.5202139305743037	Minnesota Wild
147 Chris Tanev	0.5199583044561139	Calgary Flames
148 Brendan Smith	0.5186927239624672	New Jersey Devils
149 Nick Perbix	0.5080572678829267	Tampa Bay Lightning
150 Josh Brown	0.5039951764503305	Arizona Coyotes
151 Pierre-Olivier Joseph	0.5010622094260442	Pittsburgh Penguins
152 Jalen Chatfield	0.4991386764616291	Carolina Hurricanes
153 Alexandre Carrier	0.4971415040244682	Nashville Predators
154 Jamie Oleksiak	0.4961867761806235	Seattle Kraken
155 Radko Gudas	0.4843359289667076	Florida Panthers
156 Aaron Ekblad	0.48318624669884164	Florida Panthers
157 Alexander Edler	0.4700863773627242	Los Angeles Kings
158 Ethan Bear	0.4690197010930269	Vancouver Canucks
159 Radim Simek	0.4636787511765721	San Jose Sharks
160 Juuso Valimaki	0.4594259128548856	Arizona Coyotes
161 TJ Brodie	0.45803847943762255	Toronto Maple Leafs
162 Jacob Bryson	0.4539640293802954	Buffalo Sabres
163 Timothy Liljegren	0.42226238787167364	Toronto Maple Leafs
164 Nick Holden	0.41926759136453945	Ottawa Senators
165 Mattias Samuelsson	0.4185104553833061	Buffalo Sabres
166 Morgan Rielly	0.4141130185167187	Toronto Maple Leafs
167 Sean Walker	0.4104830314779293	Los Angeles Kings
168 Joel Edmundson	0.3956373563716312	Montréal Canadiens
169 Patrik Nemeth	0.38243209516990245	Arizona Coyotes
170 Jeremy Lauzon	0.3645785745551008	Nashville Predators
171 Josh Manson	0.36393158174441015	Colorado Avalanche
172 Jordan Oesterle	0.35435637144125587	Detroit Red Wings
173 Charlie McAvoy	0.3470071252161288	Boston Bruins
174 Dylan Samberg	0.3444115080326761	Winnipeg Jets
175 Marcus Bjork	0.32635222296216854	Columbus Blue Jackets
176 Dmitry Orlov	0.32402353753384144	Washington Capitals
177 Calvin de Haan	0.30837471588572396	Carolina Hurricanes
178 Derek Forbort	0.30144810380493403	Boston Bruins
179 Jakob Chychrun	0.25544135578467697	Arizona Coyotes
180 Matt Irwin	0.24668511505609184	Washington Capitals
181 Artem Zub	0.24617903484739237	Ottawa Senators
182 Henri Jokiharju	0.2459360790986582	Buffalo Sabres
183 Michael Stone	0.23208276635906674	Calgary Flames
184 Kyle Burroughs	0.22278209923918696	Vancouver Canucks
185 Casey Fitzgerald	0.21455266985771426	Buffalo Sabres
186 Zach Werenski	0.2071711283664416	Columbus Blue Jackets
187 Riley Stillman	0.19510708934705318	Vancouver Canucks
188 Gustav Lindstrom	0.19341428095219887	Detroit Red Wings
189 Jake Walman	0.19084384712675878	Detroit Red Wings
190 Nikita Zaitsev	0.18953194716132274	Ottawa Senators
191 Chris Wideman	0.18374203852307078	Montréal Canadiens
192 Robert Bortuzzo	0.1749097217423501	St. Louis Blues
193 Ilya Lyubushkin	0.1732073964408739	Buffalo Sabres
194 Alex Goligoski	0.16741506146288182	Minnesota Wild
195 Cal Foote	0.16301042449856862	Tampa Bay Lightning
196 Calle Rosen	0.15968177630766806	St. Louis Blues
197 Jacob MacDonald	0.14880531693850516	Colorado Avalanche
198 Nathan Beaulieu	0.13701624648148314	Anaheim Ducks
199 Lawrence Pilut	0.13388173478790283	Buffalo Sabres
200 Jake Bean	0.13295430503619604	Columbus Blue Jackets
201 Libor Hajek	0.130948003679635	New York Rangers
202 Robert Hagg	0.12999901878505377	Detroit Red Wings
203 Bowen Byram	0.12940578464619412	Colorado Avalanche
204 Kale Clague	0.12777684971477002	Buffalo Sabres
205 Haydn Fleury	0.11991516550436716	Tampa Bay Lightning
206 Chad Ruhwedel	0.1191864484348009	Pittsburgh Penguins
207 Mike Matheson	0.11865471318299772	Montréal Canadiens
208 Colton White	0.11757989892413083	Anaheim Ducks
209 Jordan Gross	0.10340563935422496	Nashville Predators
210 Gavin Bayreuther	0.10168915373018365	Columbus Blue Jackets
211 Matt Kiersted	0.10000637690755171	Florida Panthers
212 Andreas Englund	0.094579997890068	Colorado Avalanche
213 Tim Berni	0.09325473447693516	Columbus Blue Jackets
214 Jakub Zboril	0.09229600784106105	Boston Bruins
215 Ryan Murray	0.09064911309411292	Edmonton Oilers
216 Markus Niemelainen	0.08625967471523853	Edmonton Oilers
217 Urho Vaakanainen	0.08113568528790462	Anaheim Ducks
218 Zach Bogosian	0.07753180881767242	Tampa Bay Lightning
219 Daniil Miromanov	0.0772875984596303	Vegas Golden Knights
220 Victor Mete	0.07095522107588756	Toronto Maple Leafs
221 Jamie Drysdale	0.06876852267587999	Anaheim Ducks
222 Philip Broberg	0.06716963296649364	Edmonton Oilers
223 Conor Timmins	0.0658685318387528	Toronto Maple Leafs
224 Anton Stralman	0.06501169498766668	Boston Bruins
225 Nick Blankenburg	0.06390731297867934	Columbus Blue Jackets
226 Scott Harrington	0.05875871698831946	San Jose Sharks
227 Jacob Bernard-Docker	0.057102328870556524	Ottawa Senators
