Defensemen	Hits Base	Team
142 Nikita Zaitsev	39	Ottawa Senators
143 Rasmus Andersson	38	Calgary Flames
144 Dougie Hamilton	38	New Jersey Devils
145 Roman Josi	37	Nashville Predators
146 Samuel Girard	36	Colorado Avalanche
147 Robert Hagg	36	Detroit Red Wings
148 Erik Gustafsson	36	Washington Capitals
149 Tyson Barrie	35	Edmonton Oilers
150 Nick Perbix	35	Tampa Bay Lightning
151 Aaron Ekblad	34	Florida Panthers
152 Mark Giordano	34	Toronto Maple Leafs
153 Morgan Rielly	34	Toronto Maple Leafs
154 John Carlson	34	Washington Capitals
155 Nathan Beaulieu	33	Anaheim Ducks
156 Shayne Gostisbehere	33	Arizona Coyotes
157 Justin Braun	33	Philadelphia Flyers
158 Tony DeAngelo	33	Philadelphia Flyers
159 Cal Foote	33	Tampa Bay Lightning
160 Nick Leddy	32	St. Louis Blues
161 Riley Stillman	32	Vancouver Canucks
162 Jonas Brodin	31	Minnesota Wild
163 John Marino	31	New Jersey Devils
164 Jordie Benn	31	Toronto Maple Leafs
165 Ethan Bear	30	Vancouver Canucks
166 Casey Fitzgerald	29	Florida Panthers
167 Jon Merrill	29	Minnesota Wild
168 Alec Martinez	29	Vegas Golden Knights
169 Jacob MacDonald	28	Colorado Avalanche
170 Miro Heiskanen	28	Dallas Stars
171 Jake Walman	28	Detroit Red Wings
172 Ryan McDonagh	28	Nashville Predators
173 Nikita Okhotiuk	28	New Jersey Devils
174 Chris Tanev	27	Calgary Flames
175 Jaccob Slavin	27	Carolina Hurricanes
176 Gustav Lindstrom	27	Detroit Red Wings
177 Torey Krug	27	St. Louis Blues
178 Gavin Bayreuther	26	Columbus Blue Jackets
179 David Savard	26	Montréal Canadiens
180 Erik Brannstrom	26	Ottawa Senators
181 Jake Sanderson	26	Ottawa Senators
182 Marc-Edouard Vlasic	26	San Jose Sharks
183 Scott Harrington	26	San Jose Sharks
184 Brent Burns	25	Carolina Hurricanes
185 Jordan Oesterle	25	Detroit Red Wings
186 Ben Harpur	25	New York Rangers
187 Matt Grzelcyk	24	Boston Bruins
188 Henri Jokiharju	24	Buffalo Sabres
189 Nate Schmidt	24	Winnipeg Jets
190 Juuso Valimaki	23	Arizona Coyotes
191 Damon Severson	23	New Jersey Devils
192 Mark Friedman	23	Pittsburgh Penguins
193 Tyler Tucker	23	St. Louis Blues
194 Sebastian Aho	22	New York Islanders
195 Cale Fleury	22	Seattle Kraken
196 Haydn Fleury	22	Tampa Bay Lightning
197 TJ Brodie	22	Toronto Maple Leafs
198 Isaak Phillips	21	Chicago Blackhawks
199 Mike Matheson	21	Montréal Canadiens
200 Erik Karlsson	21	San Jose Sharks
201 Brett Pesce	20	Carolina Hurricanes
202 Nick Blankenburg	20	Columbus Blue Jackets
203 Kaedan Korczak	20	Vegas Golden Knights
204 Logan Stanley	20	Winnipeg Jets
205 Alex Goligoski	19	Minnesota Wild
206 Kevin Bahl	19	New Jersey Devils
207 Ty Smith	19	Pittsburgh Penguins
208 Owen Power	18	Buffalo Sabres
209 Justin Schultz	18	Seattle Kraken
210 Trevor van Riemsdyk	18	Washington Capitals
211 Jacob Bryson	17	Buffalo Sabres
212 Adam Fox	17	New York Rangers
213 Libor Hajek	17	New York Rangers
214 Nick Cicek	17	San Jose Sharks
215 Jacob Bernard-Docker	16	Ottawa Senators
216 Kale Clague	15	Buffalo Sabres
217 Bowen Byram	15	Colorado Avalanche
218 Chris Wideman	15	Montréal Canadiens
219 Cam York	15	Philadelphia Flyers
220 Urho Vaakanainen	14	Anaheim Ducks
221 Conor Timmins	14	Toronto Maple Leafs
222 Jakub Zboril	13	Boston Bruins
223 Jake Bean	13	Columbus Blue Jackets
224 Joel Hanley	13	Dallas Stars
225 Alexander Alexeyev	13	Washington Capitals
226 Cam Fowler	12	Anaheim Ducks
227 Anton Stralman	12	Boston Bruins
228 Philip Broberg	12	Edmonton Oilers
229 Calen Addison	12	Minnesota Wild
230 Colton White	11	Anaheim Ducks
231 Ryan Murray	11	Edmonton Oilers
232 Jake Muzzin	11	Toronto Maple Leafs
233 Quinn Hughes	11	Vancouver Canucks
234 Shea Theodore	11	Vegas Golden Knights
235 Connor Mackey	10	Calgary Flames
236 Adam Boqvist	10	Columbus Blue Jackets
237 Travis Dermott	10	Vancouver Canucks
238 Ben Hutton	10	Vegas Golden Knights
239 Dylan Coghlan	9	Carolina Hurricanes
240 Calle Rosen	9	St. Louis Blues
241 Kyle Capobianco	9	Winnipeg Jets
242 Vincent Desharnais	8	Edmonton Oilers
243 Parker Wotherspoon	8	New York Islanders
244 Jamie Drysdale	7	Anaheim Ducks
245 Brad Hunt	7	Colorado Avalanche
246 Justin Barron	7	Montréal Canadiens
247 Daniil Miromanov	7	Vegas Golden Knights
248 Ville Heinola	7	Winnipeg Jets
249 Tobias Bjornfot	6	Los Angeles Kings
250 Steven Santini	6	St. Louis Blues
251 Zach Werenski	5	Columbus Blue Jackets
252 Mark Borowiecki	5	Nashville Predators
253 Ian Mitchell	3	Chicago Blackhawks
254 Victor Mete	3	Toronto Maple Leafs
255 Tucker Poolman	2	Vancouver Canucks
256 Jack Rathbone	1	Vancouver Canucks
257 Dennis Cholowski	0	New York Islanders
