Defensemen	Utilization Rating	Team
109 Troy Stecher	0.6451308714574899	Arizona Coyotes
110 Jaycob Megna	0.635496292612391	San Jose Sharks
111 Justin Schultz	0.6334985406956878	Seattle Kraken
112 Ian Cole	0.6302392999060733	Tampa Bay Lightning
113 Chris Tanev	0.6286264640069127	Calgary Flames
114 Carson Soucy	0.6281078691553542	Seattle Kraken
115 Torey Krug	0.6272770912639319	St. Louis Blues
116 Aaron Ekblad	0.6215064559371752	Florida Panthers
117 Seth Jones	0.6173377831362497	Chicago Blackhawks
118 John Klingberg	0.6171268757846979	Anaheim Ducks
119 Erik Johnson	0.6164349153543562	Colorado Avalanche
120 Kevin Shattenkirk	0.6094811228133781	Anaheim Ducks
121 Brandon Carlo	0.6035099411682223	Boston Bruins
122 Zach Whitecloud	0.599638130344269	Vegas Golden Knights
123 Martin Fehervary	0.5991644667065045	Washington Capitals
124 Dylan DeMelo	0.5955581605408637	Winnipeg Jets
125 Simon Benoit	0.5871062943381118	Anaheim Ducks
126 Josh Brown	0.5854928253115328	Arizona Coyotes
127 Niko Mikkola	0.5808813941694264	St. Louis Blues
128 Radko Gudas	0.579288387317963	Florida Panthers
129 Calen Addison	0.5733214247131707	Minnesota Wild
130 Erik Brannstrom	0.5721089398019602	Ottawa Senators
131 Morgan Rielly	0.5692809085705537	Toronto Maple Leafs
132 Will Borgen	0.5607649185530545	Seattle Kraken
133 Alexandre Carrier	0.549185857551444	Nashville Predators
134 Jamie Oleksiak	0.546492258744134	Seattle Kraken
135 Dante Fabbro	0.5450563114763775	Nashville Predators
136 Johnathan Kovacevic	0.5424457211872492	Montréal Canadiens
137 Justin Braun	0.5397911094508501	Philadelphia Flyers
138 Jordan Harris	0.5346766963612737	Montréal Canadiens
139 Nicolas Hague	0.5309905017049819	Vegas Golden Knights
140 Nils Lundkvist	0.5265188789913284	Dallas Stars
141 Colin Miller	0.5090893731830152	Dallas Stars
142 Braden Schneider	0.4886968374206613	New York Rangers
143 Jacob Bryson	0.4846296446020708	Buffalo Sabres
144 Nick Holden	0.4778961610908376	Ottawa Senators
145 Jarred Tinordi	0.4701700806995855	Chicago Blackhawks
146 Caleb Jones	0.4700513643611566	Chicago Blackhawks
147 Samuel Girard	0.4686942965087078	Colorado Avalanche
148 Patrik Nemeth	0.46705816175023596	Arizona Coyotes
149 Matt Grzelcyk	0.4548335766150094	Boston Bruins
150 Joel Edmundson	0.4440294437262175	Montréal Canadiens
151 Charlie McAvoy	0.4335780923954319	Boston Bruins
152 Juuso Valimaki	0.43272563628651883	Arizona Coyotes
153 Rasmus Ristolainen	0.4309500094893911	Philadelphia Flyers
154 Josh Manson	0.4294422966638372	Colorado Avalanche
155 TJ Brodie	0.4277378105176105	Toronto Maple Leafs
156 Jon Merrill	0.42728672340085816	Minnesota Wild
157 Josh Mahura	0.4257116600902775	Florida Panthers
158 Arber Xhekaj	0.42213106557588914	Montréal Canadiens
159 Brendan Smith	0.418166628736885	New Jersey Devils
160 Nick Seeler	0.4017788268735076	Philadelphia Flyers
161 Ethan Bear	0.39736411831948015	Vancouver Canucks
162 Mattias Samuelsson	0.3921566136485506	Buffalo Sabres
163 Alexander Edler	0.3819445192555944	Los Angeles Kings
164 Jeremy Lauzon	0.37805982616213085	Nashville Predators
165 Jalen Chatfield	0.37645315797923534	Carolina Hurricanes
166 Pierre-Olivier Joseph	0.37508221682564874	Pittsburgh Penguins
167 Radim Simek	0.37420012331863167	San Jose Sharks
168 Derek Forbort	0.36383533599277595	Boston Bruins
169 Timothy Liljegren	0.358658932753363	Toronto Maple Leafs
170 Sean Walker	0.35459212940339846	Los Angeles Kings
171 Sebastian Aho	0.35190637243917783	New York Islanders
172 Henri Jokiharju	0.349975452970883	Buffalo Sabres
173 Zach Werenski	0.3333277988587878	Columbus Blue Jackets
174 Dylan Samberg	0.32552398139670424	Winnipeg Jets
175 Dmitry Orlov	0.30978720435316937	Washington Capitals
176 Marcus Bjork	0.30798457471398094	Columbus Blue Jackets
177 Artem Zub	0.3009306627088012	Ottawa Senators
178 Nick Perbix	0.2994884879018924	Tampa Bay Lightning
179 Ilya Lyubushkin	0.2647882452575716	Buffalo Sabres
180 Kyle Burroughs	0.23240971007656894	Vancouver Canucks
181 Jordan Oesterle	0.2266865116025862	Detroit Red Wings
182 Chris Wideman	0.2247899419526614	Montréal Canadiens
183 Casey Fitzgerald	0.22409026068027338	Buffalo Sabres
184 Mike Matheson	0.2217024016855729	Montréal Canadiens
185 Jakob Chychrun	0.22023782692381494	Arizona Coyotes
186 Robert Bortuzzo	0.21895070578566042	St. Louis Blues
187 Michael Stone	0.21638733501537105	Calgary Flames
188 Nikita Zaitsev	0.21497721640022577	Ottawa Senators
189 Alex Goligoski	0.2140181739789474	Minnesota Wild
190 Calvin de Haan	0.21135592303560558	Carolina Hurricanes
191 Riley Stillman	0.2063493530139309	Vancouver Canucks
192 Matt Irwin	0.19874653037933754	Washington Capitals
193 Jake Bean	0.18641140664540684	Columbus Blue Jackets
194 Calle Rosen	0.18192063613596332	St. Louis Blues
195 Cal Foote	0.18040983671649002	Tampa Bay Lightning
196 Bowen Byram	0.18029803675312717	Colorado Avalanche
197 Nathan Beaulieu	0.176971285160493	Anaheim Ducks
198 Jacob MacDonald	0.16995027845052235	Colorado Avalanche
199 Gustav Lindstrom	0.16301071455614807	Detroit Red Wings
200 Robert Hagg	0.16135225666980058	Detroit Red Wings
201 Jakub Zboril	0.14908824035445362	Boston Bruins
202 Jake Walman	0.14377657788501746	Detroit Red Wings
203 Libor Hajek	0.141653200863831	New York Rangers
204 Gavin Bayreuther	0.13936085854475813	Columbus Blue Jackets
205 Dysin Mayo	0.13378226860697873	Arizona Coyotes
206 Colton White	0.13377093068740584	Anaheim Ducks
207 Lawrence Pilut	0.13160655436699392	Buffalo Sabres
208 Haydn Fleury	0.13117261270755573	Tampa Bay Lightning
209 Jordan Gross	0.12235609562424263	Nashville Predators
210 Chad Ruhwedel	0.12046915671460603	Pittsburgh Penguins
211 Ryan Murray	0.12004575269685364	Edmonton Oilers
212 Victor Mete	0.1090148917127707	Toronto Maple Leafs
213 Jamie Drysdale	0.1083416839117974	Anaheim Ducks
214 Nick Cicek	0.10697954996472181	San Jose Sharks
215 Matt Kiersted	0.10602976007637754	Florida Panthers
216 Nick Blankenburg	0.10347346828684487	Columbus Blue Jackets
217 Anton Stralman	0.09904434835447956	Boston Bruins
218 Philip Broberg	0.09854270982593447	Edmonton Oilers
