Defensemen	Plus_Minus Corrected	Team
109 Patrik Nemeth	0.5251744397095233	Arizona Coyotes
110 Jordan Harris	0.5145045055347894	Montréal Canadiens
111 Nick Seeler	0.5082736393858908	Philadelphia Flyers
112 Matt Dumba	0.5029307768898338	Minnesota Wild
113 Damon Severson	0.501149613697689	New Jersey Devils
114 Josh Manson	0.49669667695547254	Colorado Avalanche
115 Chris Tanev	0.493134670920383	Calgary Flames
116 Scott Harrington	0.49046360393958066	San Jose Sharks
117 Jacob Bernard-Docker	0.48512325544725676	Ottawa Senators
118 Michael Stone	0.4753423105487509	Calgary Flames
119 David Savard	0.461151194338101	Montréal Canadiens
120 Nick Leddy	0.4514298076278461	St. Louis Blues
121 Trevor van Riemsdyk	0.42948440249955344	Washington Capitals
122 Will Borgen	0.4268677486535606	Seattle Kraken
123 Zach Werenski	0.4242551818056432	Columbus Blue Jackets
124 John Carlson	0.42164684122967044	Washington Capitals
125 Nils Lundkvist	0.41212130911537154	Dallas Stars
126 Jordie Benn	0.39667807157931606	Toronto Maple Leafs
127 Marc Staal	0.3958258188126854	Florida Panthers
128 Kris Letang	0.39327287320703286	Pittsburgh Penguins
129 Sebastian Aho	0.38312050688266375	New York Islanders
130 Chris Wideman	0.37891970230025646	Montréal Canadiens
131 Jake Muzzin	0.37891970230025646	Toronto Maple Leafs
132 Zach Whitecloud	0.376407863018488	Vegas Golden Knights
133 Alex Goligoski	0.37140418089047184	Minnesota Wild
134 Aaron Ekblad	0.3705728760551042	Florida Panthers
135 Tim Berni	0.36891256926337024	Columbus Blue Jackets
136 Dante Fabbro	0.36477543069091084	Nashville Predators
137 Chad Ruhwedel	0.3590169505593486	Pittsburgh Penguins
138 Matt Roy	0.35492837317788795	Los Angeles Kings
139 Kevin Shattenkirk	0.3484306841904271	Anaheim Ducks
140 Tobias Bjornfot	0.3476223638214119	Los Angeles Kings
141 Victor Mete	0.3476223638214119	Toronto Maple Leafs
142 Travis Sanheim	0.34520267993824555	Philadelphia Flyers
143 Cal Foote	0.33401806157315383	Tampa Bay Lightning
