Defensemen	Hits Corrected	Team
109 John Marino	0.493380632186512	New Jersey Devils
110 Brady Skjei	0.47322758745389326	Carolina Hurricanes
111 Alexandre Carrier	0.47322758745389326	Nashville Predators
112 Dante Fabbro	0.47322758745389326	Nashville Predators
113 Justin Braun	0.47322758745389326	Philadelphia Flyers
114 Travis Sanheim	0.47322758745389326	Philadelphia Flyers
115 Mark Giordano	0.47322758745389326	Toronto Maple Leafs
116 Tyler Myers	0.47322758745389326	Vancouver Canucks
117 Josh Morrissey	0.47322758745389326	Winnipeg Jets
118 Charlie McAvoy	0.45316140472806854	Boston Bruins
119 Olli Maatta	0.45316140472806854	Detroit Red Wings
120 Sean Walker	0.45316140472806854	Los Angeles Kings
121 Zach Bogosian	0.45316140472806854	Tampa Bay Lightning
122 John Carlson	0.45316140472806854	Washington Capitals
123 Dysin Mayo	0.43324628892504335	Arizona Coyotes
124 Caleb Jones	0.43324628892504335	Chicago Blackhawks
125 Vladislav Gavrikov	0.43324628892504335	Columbus Blue Jackets
126 Gustav Forsling	0.43324628892504335	Florida Panthers
127 Johnathan Kovacevic	0.43324628892504335	Montréal Canadiens
128 Dylan Samberg	0.43324628892504335	Winnipeg Jets
129 Jared Spurgeon	0.41354450928505937	Minnesota Wild
130 Thomas Chabot	0.41354450928505937	Ottawa Senators
131 Mario Ferraro	0.41354450928505937	San Jose Sharks
132 Casey Fitzgerald	0.39411563890286017	Buffalo Sabres
133 Rasmus Andersson	0.39411563890286017	Calgary Flames
134 Nils Lundkvist	0.39411563890286017	Dallas Stars
135 Troy Stecher	0.37501586570456763	Arizona Coyotes
136 Dougie Hamilton	0.37501586570456763	New Jersey Devils
137 Robert Bortuzzo	0.37501586570456763	St. Louis Blues
138 John Klingberg	0.3562973908496196	Anaheim Ducks
139 J.J. Moser	0.3562973908496196	Arizona Coyotes
140 Gustav Lindstrom	0.3562973908496196	Detroit Red Wings
141 Joel Edmundson	0.3562973908496196	Montréal Canadiens
142 Nikita Zaitsev	0.3562973908496196	Ottawa Senators
143 Cal Foote	0.3562973908496196	Tampa Bay Lightning
144 Seth Jones	0.3380079267483564	Chicago Blackhawks
145 Aaron Ekblad	0.3380079267483564	Florida Panthers
146 Jake Sanderson	0.3380079267483564	Ottawa Senators
147 Riley Stillman	0.3380079267483564	Vancouver Canucks
148 Kurtis MacDermid	0.3201903027557103	Colorado Avalanche
149 Nick Leddy	0.3201903027557103	St. Louis Blues
150 Torey Krug	0.3201903027557103	St. Louis Blues
151 Nick Perbix	0.3201903027557103	Tampa Bay Lightning
152 Morgan Rielly	0.3201903027557103	Toronto Maple Leafs
153 Erik Gustafsson	0.3201903027557103	Washington Capitals
154 Jacob MacDonald	0.3028821823807485	Colorado Avalanche
155 Jordan Harris	0.3028821823807485	Montréal Canadiens
156 Roman Josi	0.3028821823807485	Nashville Predators
157 Noah Dobson	0.3028821823807485	New York Islanders
158 Nathan Beaulieu	0.2861158917786667	Anaheim Ducks
159 Chris Tanev	0.2861158917786667	Calgary Flames
160 Jaccob Slavin	0.2861158917786667	Carolina Hurricanes
161 Marcus Bjork	0.2861158917786667	Columbus Blue Jackets
162 Miro Heiskanen	0.2861158917786667	Dallas Stars
163 Logan Stanley	0.2861158917786667	Winnipeg Jets
164 Matt Grzelcyk	0.269918355573163	Boston Bruins
165 Samuel Girard	0.269918355573163	Colorado Avalanche
166 Tyson Barrie	0.269918355573163	Edmonton Oilers
167 Jon Merrill	0.269918355573163	Minnesota Wild
168 Jonas Brodin	0.269918355573163	Minnesota Wild
169 David Savard	0.269918355573163	Montréal Canadiens
170 Ryan McDonagh	0.269918355573163	Nashville Predators
171 Alec Martinez	0.269918355573163	Vegas Golden Knights
172 Haydn Fleury	0.2543111328557719	Tampa Bay Lightning
173 Jordie Benn	0.2543111328557719	Toronto Maple Leafs
174 TJ Brodie	0.2543111328557719	Toronto Maple Leafs
