Defensemen	Discipline Base	Team
113 Erik Cernak	18.686597838298532	Tampa Bay Lightning
114 Jaycob Megna	18.612595670238356	San Jose Sharks
115 Connor Murphy	18.590431374688563	Chicago Blackhawks
116 Jani Hakanpää	18.47681905116531	Dallas Stars
117 Nikita Zadorov	18.393900232618247	Calgary Flames
118 Ian Cole	18.295124202107207	Tampa Bay Lightning
119 Matt Roy	18.164341098738195	Los Angeles Kings
120 Ryan Lindgren	18.154134699744265	New York Rangers
121 Timothy Liljegren	18.103028639399763	Toronto Maple Leafs
122 Jake Walman	18.100621169455028	Detroit Red Wings
123 Jamie Oleksiak	18.07687482753497	Seattle Kraken
124 Ethan Bear	18.06115611814346	Vancouver Canucks
125 Jordan Harris	18.025577752434884	Montréal Canadiens
126 Nicolas Hague	18.007026716354265	Vegas Golden Knights
127 Brandon Carlo	17.99467728415759	Boston Bruins
128 Derek Forbort	17.951127212238987	Boston Bruins
129 Trevor van Riemsdyk	17.93924731182796	Washington Capitals
130 Olli Maatta	17.918276893471944	Detroit Red Wings
131 Marc-Edouard Vlasic	17.863335557573848	San Jose Sharks
132 Marc Staal	17.84232399215977	Florida Panthers
133 Nick Blankenburg	17.80006463862966	Columbus Blue Jackets
134 Brett Kulak	17.782935096063817	Edmonton Oilers
135 Erik Johnson	17.758373587870825	Colorado Avalanche
136 Travis Hamonic	17.678038194444447	Ottawa Senators
137 Connor Clifton	17.676646428331225	Boston Bruins
138 Simon Benoit	17.656118631340416	Anaheim Ducks
139 Evan Bouchard	17.606963665086887	Edmonton Oilers
140 Rasmus Sandin	17.533717105263158	Toronto Maple Leafs
141 Rasmus Ristolainen	17.526029258098223	Philadelphia Flyers
142 Justin Schultz	17.48379943194232	Seattle Kraken
143 Alexandre Carrier	17.441998017656687	Nashville Predators
144 Caleb Jones	17.440620552234556	Chicago Blackhawks
145 Jamie Drysdale	17.36672578229684	Anaheim Ducks
146 Jan Rutta	17.309931443394476	Pittsburgh Penguins
147 Tim Berni	17.241619047619047	Columbus Blue Jackets
148 Kevin Shattenkirk	17.233531457567207	Anaheim Ducks
149 Adam Boqvist	17.044801410826558	Columbus Blue Jackets
150 Jake Middleton	17.01822876476524	Minnesota Wild
151 Alex Goligoski	17.016666666666666	Minnesota Wild
152 Daniil Miromanov	16.890486174202717	Vegas Golden Knights
153 Radko Gudas	16.85536970546166	Florida Panthers
154 Matt Grzelcyk	16.80571771978022	Boston Bruins
155 Urho Vaakanainen	16.683333333333334	Anaheim Ducks
156 Nils Lundkvist	16.642774714613125	Dallas Stars
157 Sebastian Aho	16.55397718063102	New York Islanders
158 Nikita Zaitsev	16.369910863761824	Ottawa Senators
159 Johnathan Kovacevic	16.305810921305607	Montréal Canadiens
160 Jake Muzzin	16.20037397157816	Toronto Maple Leafs
161 Nick Holden	16.172795492853677	Ottawa Senators
162 Jarred Tinordi	16.166976645603995	Chicago Blackhawks
163 Colin Miller	16.066052008972708	Dallas Stars
164 Filip Roos	16.033533138069615	Chicago Blackhawks
165 Justin Barron	16.02576173662874	Montréal Canadiens
166 Calen Addison	16.025422762613	Minnesota Wild
167 Niko Mikkola	15.902629425005117	St. Louis Blues
168 Zach Whitecloud	15.883486789431544	Vegas Golden Knights
169 Ian Mitchell	15.833453845975573	Chicago Blackhawks
170 Luke Schenn	15.783168120539253	Vancouver Canucks
171 Troy Stecher	15.630899647404094	Arizona Coyotes
172 Kyle Burroughs	15.62156155457296	Vancouver Canucks
173 Conor Timmins	15.583381131941863	Toronto Maple Leafs
174 Dante Fabbro	15.53904817699359	Nashville Predators
175 Justin Braun	15.491517611867408	Philadelphia Flyers
176 Kale Clague	15.466666666666667	Buffalo Sabres
177 Carson Soucy	15.42969454803765	Seattle Kraken
178 Jack Rathbone	15.416666666666666	Vancouver Canucks
179 Jake Bean	15.271526040482147	Columbus Blue Jackets
180 Will Borgen	15.246119927512307	Seattle Kraken
181 Jordan Oesterle	15.24021291026823	Detroit Red Wings
182 Patrik Nemeth	15.229193713150423	Arizona Coyotes
183 Jacob Bryson	15.216726478531164	Buffalo Sabres
184 Dylan Samberg	15.159159905783826	Winnipeg Jets
185 Anton Stralman	15.116734435709768	Boston Bruins
186 Samuel Bolduc	15.116666666666667	New York Islanders
187 Jon Merrill	15.111510239477019	Minnesota Wild
188 Josh Manson	15.04541645208109	Colorado Avalanche
189 Ben Hutton	15.01440423104843	Vegas Golden Knights
190 Robert Hagg	14.931271421576627	Detroit Red Wings
191 Calle Rosen	14.806652583336318	St. Louis Blues
192 Jordie Benn	14.800087896633558	Toronto Maple Leafs
193 Scott Harrington	14.799999999999999	San Jose Sharks
194 Braden Schneider	14.79983898036014	New York Rangers
195 Erik Brannstrom	14.745647029517997	Ottawa Senators
196 Jeremy Lauzon	14.691668784413382	Nashville Predators
197 Riley Stillman	14.64234290937973	Vancouver Canucks
198 Alexander Edler	14.621702099344578	Los Angeles Kings
199 Gavin Bayreuther	14.55	Columbus Blue Jackets
200 Nick Perbix	14.5483647355065	Tampa Bay Lightning
201 Sean Walker	14.42780840121072	Los Angeles Kings
202 Brendan Smith	14.338372996310072	New Jersey Devils
203 Mark Friedman	14.3	Pittsburgh Penguins
204 Josh Brown	14.244970223724449	Arizona Coyotes
205 Pierre-Olivier Joseph	14.244630404463042	Pittsburgh Penguins
206 Juuso Valimaki	14.155921895270913	Arizona Coyotes
207 Tucker Poolman	13.95	Vancouver Canucks
208 Josh Mahura	13.94900155669266	Florida Panthers
209 Radim Simek	13.911009732360098	San Jose Sharks
210 Tobias Bjornfot	13.816794503036112	Los Angeles Kings
211 Zach Bogosian	13.75007308872972	Tampa Bay Lightning
212 Chad Ruhwedel	13.75001314872523	Pittsburgh Penguins
213 Nick Seeler	13.675106212522154	Philadelphia Flyers
214 Alexander Alexeyev	13.666683398587827	Washington Capitals
215 Travis Dermott	13.568181818181818	Vancouver Canucks
216 Ilya Lyubushkin	13.392189049622106	Buffalo Sabres
217 Gustav Lindstrom	13.319179986101458	Detroit Red Wings
218 Arber Xhekaj	13.283814830885877	Montréal Canadiens
219 Philip Broberg	13.263133065828	Edmonton Oilers
220 Cal Foote	13.17932071596244	Tampa Bay Lightning
221 Jalen Chatfield	13.12150340049846	Carolina Hurricanes
222 Ben Harpur	13.101062902944763	New York Rangers
223 Libor Hajek	13.000176761725195	New York Rangers
224 Parker Wotherspoon	12.983576515546291	New York Islanders
225 Cale Fleury	12.950151975683891	Seattle Kraken
226 Jakub Zboril	12.940489188123617	Boston Bruins
227 Casey Fitzgerald	12.876125575972909	Florida Panthers
228 Ryan Murray	12.80915470027026	Edmonton Oilers
229 Victor Mete	12.703198887343532	Toronto Maple Leafs
230 Calvin de Haan	12.623318914667715	Carolina Hurricanes
231 Colton White	12.40023603461841	Anaheim Ducks
232 Logan Stanley	12.328945931185146	Winnipeg Jets
233 Michael Stone	12.308565036752956	Calgary Flames
234 Dylan Coghlan	12.296248842235258	Carolina Hurricanes
235 Nathan Beaulieu	12.129055864214179	Anaheim Ducks
236 Matt Irwin	12.061416730846812	Washington Capitals
237 Haydn Fleury	12.016687295147722	Tampa Bay Lightning
238 Chris Wideman	11.813565795449852	Montréal Canadiens
239 Kyle Capobianco	11.683760464718947	Winnipeg Jets
240 Brad Hunt	11.217126988892225	Colorado Avalanche
241 Robert Bortuzzo	11.161155986357924	St. Louis Blues
242 Vincent Desharnais	11.008485026423958	Edmonton Oilers
243 Joel Hanley	10.680735930735931	Dallas Stars
244 Kevin Bahl	10.563348416289593	New Jersey Devils
245 Andreas Englund	10.555049435028248	Colorado Avalanche
246 Connor Mackey	9.383916423712343	Calgary Flames
247 Jacob MacDonald	8.612121212121211	San Jose Sharks
248 Dennis Gilbert	8.36266538439121	Calgary Flames
249 Mark Borowiecki	6.919185558354324	Nashville Predators
250 Kurtis MacDermid	6.377877040526273	Colorado Avalanche
