Defensemen	Points Corrected	Team
110 Luke Schenn	0.48717442251345777	Vancouver Canucks
111 Sebastian Aho	0.48664125720324053	New York Islanders
112 Brayden McNabb	0.4773007837924965	Vegas Golden Knights
113 Dylan DeMelo	0.47149548105245703	Winnipeg Jets
114 Ben Hutton	0.4651685972395916	Vegas Golden Knights
115 Chris Wideman	0.46420359728469557	Montréal Canadiens
116 Jaycob Megna	0.462183425396081	San Jose Sharks
117 Jon Merrill	0.4602432077350287	Minnesota Wild
118 Jake Muzzin	0.4592681070847589	Toronto Maple Leafs
119 David Savard	0.4592089170887021	Montréal Canadiens
120 Ryan Lindgren	0.45720371208903376	New York Rangers
121 Braden Schneider	0.4572009135430868	New York Rangers
122 Brett Kulak	0.4545519294530509	Edmonton Oilers
123 Matt Dumba	0.4496633665667098	Minnesota Wild
124 Nick Leddy	0.44836124790675974	St. Louis Blues
125 Owen Power	0.44386537502088164	Buffalo Sabres
126 Sean Walker	0.43800117597687793	Los Angeles Kings
127 Connor Mackey	0.4330806983474799	Calgary Flames
128 Dmitry Kulikov	0.43045007828244997	Anaheim Ducks
129 Alexander Edler	0.4236065703754003	Los Angeles Kings
130 Erik Gudbranson	0.4205474520607907	Columbus Blue Jackets
131 Marc-Edouard Vlasic	0.41825679137790267	San Jose Sharks
132 Victor Mete	0.4152358665092145	Toronto Maple Leafs
133 Jacob Trouba	0.40772135779740293	New York Rangers
134 Vladislav Gavrikov	0.4043994083738581	Columbus Blue Jackets
135 Cal Foote	0.3994983440114635	Tampa Bay Lightning
136 Timothy Liljegren	0.3989007205725639	Toronto Maple Leafs
137 Jordan Gross	0.3919604342611579	Nashville Predators
138 Alexander Romanov	0.3885979052094544	New York Islanders
139 Mattias Ekholm	0.3879612237494055	Nashville Predators
140 Scott Mayfield	0.38732643200446276	New York Islanders
141 Nathan Beaulieu	0.3861553179580581	Anaheim Ducks
142 Mark Giordano	0.381525179368944	Toronto Maple Leafs
143 Adam Larsson	0.3779018851844994	Seattle Kraken
144 Artem Zub	0.37718294873682867	Ottawa Senators
145 Ryan McDonagh	0.373123688159407	Nashville Predators
146 Erik Johnson	0.37191621125755847	Colorado Avalanche
147 Nikita Zaitsev	0.36919886024792914	Ottawa Senators
148 Radko Gudas	0.3683729612408106	Florida Panthers
149 Jarred Tinordi	0.3627849407944475	Chicago Blackhawks
150 Dylan Samberg	0.36269617752105443	Winnipeg Jets
151 Ian Mitchell	0.35838644291992683	Chicago Blackhawks
152 Trevor van Riemsdyk	0.35647165945341547	Washington Capitals
153 Cam York	0.3560536014790973	Philadelphia Flyers
154 Riley Stillman	0.3558521156702316	Vancouver Canucks
155 John Marino	0.35238585198664385	New Jersey Devils
156 Carson Soucy	0.3504445940036254	Seattle Kraken
157 Brett Pesce	0.34923871485797525	Carolina Hurricanes
158 Henri Jokiharju	0.34900820013707284	Buffalo Sabres
159 Alex Goligoski	0.3470706502904955	Minnesota Wild
160 Brenden Dillon	0.34268830392304434	Winnipeg Jets
161 Zach Whitecloud	0.33940293818684203	Vegas Golden Knights
162 Samuel Girard	0.33912757802018006	Colorado Avalanche
163 Jani Hakanpaa	0.33638508365706915	Dallas Stars
164 Jan Rutta	0.3298328808711005	Pittsburgh Penguins
165 Brian Dumoulin	0.32859958207577766	Pittsburgh Penguins
166 Colton Parayko	0.3240723739548934	St. Louis Blues
167 Ben Chiarot	0.3216726892471414	Detroit Red Wings
168 MacKenzie Weegar	0.31802466355362047	Calgary Flames
169 Nicolas Hague	0.3168425314693405	Vegas Golden Knights
170 Tyler Myers	0.3167758504392307	Vancouver Canucks
171 Nick Seeler	0.3159328146342716	Philadelphia Flyers
172 Jake Middleton	0.3129438710503139	Minnesota Wild
173 Dante Fabbro	0.30919328734938595	Nashville Predators
174 Damon Severson	0.3078923620328465	New Jersey Devils
175 Calvin de Haan	0.2956116900448385	Carolina Hurricanes
176 Jack Rathbone	0.2950585515952963	Vancouver Canucks
177 Johnathan Kovacevic	0.29371260135953364	Montréal Canadiens
178 Jaccob Slavin	0.2885041051564845	Carolina Hurricanes
179 Logan Stanley	0.28508110941061987	Winnipeg Jets
180 Chris Tanev	0.2832730253227178	Calgary Flames
181 Nate Schmidt	0.2807206537406097	Winnipeg Jets
182 Nick Holden	0.2774863823970483	Ottawa Senators
183 Erik Cernak	0.2693441801482467	Tampa Bay Lightning
184 Nikita Zadorov	0.2686031732049779	Calgary Flames
185 TJ Brodie	0.26632347224653197	Toronto Maple Leafs
186 Mikey Anderson	0.260612698058035	Los Angeles Kings
187 Robert Hagg	0.2604176578744582	Detroit Red Wings
188 Josh Brown	0.2542778163916691	Arizona Coyotes
189 Mario Ferraro	0.25177501649052303	San Jose Sharks
190 Cody Ceci	0.2508096148337101	Edmonton Oilers
191 Jacob Bernard-Docker	0.24763963521046892	Ottawa Senators
192 Travis Hamonic	0.2466441912853527	Ottawa Senators
193 Ryan Suter	0.2339054333562378	Dallas Stars
194 Brandon Carlo	0.22450750303564135	Boston Bruins
195 Patrik Nemeth	0.21345763645912028	Arizona Coyotes
196 Andreas Englund	0.21231437527707026	Colorado Avalanche
197 Casey Fitzgerald	0.202943779203678	Buffalo Sabres
198 Jonas Brodin	0.2010364044835484	Minnesota Wild
199 Philip Broberg	0.20032799349643832	Edmonton Oilers
200 Martin Fehervary	0.19671739243110964	Washington Capitals
201 Joel Edmundson	0.19417287624223123	Montréal Canadiens
202 Kyle Burroughs	0.18963692039702765	Vancouver Canucks
203 Kale Clague	0.18805542380586046	Buffalo Sabres
204 Marc Staal	0.1835638015987821	Florida Panthers
205 Jack Johnson	0.18139001554890566	Chicago Blackhawks
206 Andrew Peeke	0.1731899498162487	Columbus Blue Jackets
207 Jordan Oesterle	0.17166426409308005	Detroit Red Wings
208 Erik Brannstrom	0.16711799969657226	Ottawa Senators
209 Alec Martinez	0.16115813993777817	Vegas Golden Knights
210 Mattias Samuelsson	0.15279130873725216	Buffalo Sabres
211 Jakub Zboril	0.14847012474372	Boston Bruins
212 Lawrence Pilut	0.14825136443344036	Buffalo Sabres
213 Chad Ruhwedel	0.14811374018018947	Pittsburgh Penguins
214 Gavin Bayreuther	0.14550024781205181	Columbus Blue Jackets
215 Haydn Fleury	0.14510244751292783	Tampa Bay Lightning
216 Connor Murphy	0.14333040822452986	Chicago Blackhawks
217 Colton White	0.13884411437648245	Anaheim Ducks
218 Radim Simek	0.13715651506355625	San Jose Sharks
219 Jacob MacDonald	0.12993867046134397	Colorado Avalanche
220 Libor Hajek	0.12904055202677334	New York Rangers
221 Jake Walman	0.12632762265156727	Detroit Red Wings
222 Justin Holl	0.12542522081104326	Toronto Maple Leafs
223 Niko Mikkola	0.12376756170719046	St. Louis Blues
224 Troy Stecher	0.12259659988020889	Arizona Coyotes
225 Gustav Lindstrom	0.11928421062446391	Detroit Red Wings
226 Ilya Lyubushkin	0.11287909101410477	Buffalo Sabres
227 Matt Irwin	0.10819085582193577	Washington Capitals
228 Jeremy Lauzon	0.10054249074129679	Nashville Predators
229 Brendan Smith	0.09196614576416598	New Jersey Devils
230 Alexandre Carrier	0.09129753144680368	Nashville Predators
231 Simon Benoit	0.08560100476181322	Anaheim Ducks
232 Jamie Drysdale	0.06221903735285124	Anaheim Ducks
233 Urho Vaakanainen	0.06221903735285124	Anaheim Ducks
234 Dysin Mayo	0.06221903735285124	Arizona Coyotes
235 Anton Stralman	0.06221903735285124	Boston Bruins
236 Jalen Chatfield	0.06221903735285124	Carolina Hurricanes
237 Dylan Coghlan	0.06221903735285124	Carolina Hurricanes
238 Adam Boqvist	0.06221903735285124	Columbus Blue Jackets
239 Tim Berni	0.06221903735285124	Columbus Blue Jackets
240 Joel Hanley	0.06221903735285124	Dallas Stars
241 Mark Borowiecki	0.06221903735285124	Nashville Predators
242 Kevin Gravel	0.06221903735285124	Nashville Predators
243 Roland McKeown	0.06221903735285124	Nashville Predators
244 Ben Harpur	0.06221903735285124	New York Rangers
245 Justin Braun	0.06221903735285124	Philadelphia Flyers
246 Rasmus Ristolainen	0.06221903735285124	Philadelphia Flyers
247 Cale Fleury	0.06221903735285124	Seattle Kraken
248 Robert Bortuzzo	0.06221903735285124	St. Louis Blues
249 Zach Bogosian	0.06221903735285124	Tampa Bay Lightning
250 Lucas Johansen	0.06221903735285124	Washington Capitals
251 Kyle Capobianco	0.06221903735285124	Winnipeg Jets
