Defensemen	Takeaways Base	Team
110 Roland McKeown	-5.608288534965277	Nashville Predators
111 Nikita Okhotiuk	-5.8012880790751735	New Jersey Devils
112 Dylan Coghlan	-6.242243416132265	Carolina Hurricanes
113 Jake Muzzin	-6.443657906837906	Toronto Maple Leafs
114 Alec Martinez	-6.466401822865331	Vegas Golden Knights
115 Jack Rathbone	-6.48029377553728	Vancouver Canucks
116 Calvin de Haan	-6.489842354577254	Carolina Hurricanes
117 Jonas Siegenthaler	-6.492323792743918	New Jersey Devils
118 Jamie Drysdale	-6.585277927932276	Anaheim Ducks
119 Nick Cicek	-6.799291121915055	San Jose Sharks
120 Kevin Shattenkirk	-6.884769760569902	Anaheim Ducks
121 Samuel Bolduc	-6.891412400554611	New York Islanders
122 Erik Cernak	-7.060902206127547	Tampa Bay Lightning
123 Justin Braun	-7.4332957801294555	Philadelphia Flyers
124 Jamie Oleksiak	-7.448009737808875	Seattle Kraken
125 Victor Mete	-7.820376088825666	Toronto Maple Leafs
126 Jacob Bernard-Docker	-8.103203002738766	Ottawa Senators
127 Robert Bortuzzo	-8.432329804496954	St. Louis Blues
128 Kyle Burroughs	-8.51247170782304	Vancouver Canucks
129 Daniil Miromanov	-8.51906850746651	Vegas Golden Knights
130 Mike Reilly	-8.832503884866469	Boston Bruins
131 Connor Mackey	-8.86424039374791	Calgary Flames
132 Adam Larsson	-9.019100373183333	Seattle Kraken
133 Jacob Larsson	-9.52551567834132	Ottawa Senators
134 Ville Heinola	-9.648772687138663	Winnipeg Jets
135 K'Andre Miller	-10.149384433156348	New York Rangers
136 Nicolas Hague	-10.294172942543227	Vegas Golden Knights
137 Vincent Desharnais	-10.38939187015505	Edmonton Oilers
138 Jake Walman	-10.392760838229863	Detroit Red Wings
139 Kevin Bahl	-10.512052476218564	New Jersey Devils
140 Robin Salo	-10.87920919979385	New York Islanders
141 Libor Hajek	-11.057657269678929	New York Rangers
142 Colton White	-11.080152420571757	Anaheim Ducks
143 Riley Stillman	-11.259119667794538	Vancouver Canucks
144 Cam Fowler	-11.530508531369568	Anaheim Ducks
145 Alexander Alexeyev	-11.531575253747821	Washington Capitals
146 Dysin Mayo	-11.536475094190086	Arizona Coyotes
147 Jan Rutta	-11.551393739114012	Pittsburgh Penguins
148 Robert Hagg	-11.809479331805578	Detroit Red Wings
149 Cale Fleury	-11.898191546282618	Seattle Kraken
150 Alec Regula	-11.955327840289547	Chicago Blackhawks
151 Matt Kiersted	-12.51565495411432	Florida Panthers
152 Miro Heiskanen	-12.536745144368469	Dallas Stars
153 Egor Zamula	-12.557275209035243	Philadelphia Flyers
154 Logan Stanley	-12.824412219396594	Winnipeg Jets
155 Noah Dobson	-12.834389971769903	New York Islanders
156 Marcus Bjork	-13.278426187328288	Columbus Blue Jackets
157 Justin Faulk	-13.299125811604037	St. Louis Blues
158 Ben Harpur	-13.322928046294217	New York Rangers
159 Kevin Gravel	-13.427641781681611	Nashville Predators
160 Henri Jokiharju	-13.443412967723072	Buffalo Sabres
161 Roman Josi	-13.444056168470475	Nashville Predators
162 Alex Goligoski	-13.474884927324446	Minnesota Wild
163 Filip Roos	-13.49761772957963	Chicago Blackhawks
164 Tyler Tucker	-13.856345856023857	St. Louis Blues
165 Michael Stone	-14.225046679502862	Calgary Flames
166 Ryan Murray	-14.971359358256972	Edmonton Oilers
167 Matt Irwin	-14.97977196200493	Washington Capitals
168 Will Borgen	-15.038211403179115	Seattle Kraken
169 Ryan Lindgren	-15.361353810841397	New York Rangers
170 Evan Bouchard	-16.005053857114174	Edmonton Oilers
171 Tyson Barrie	-16.299013685135453	Edmonton Oilers
172 Brian Dumoulin	-16.53327796557022	Pittsburgh Penguins
173 Jarred Tinordi	-16.58465794561	Chicago Blackhawks
174 Marc Staal	-17.25212772634891	Florida Panthers
175 Torey Krug	-17.25969904573072	St. Louis Blues
176 Conor Timmins	-17.345809472828822	Arizona Coyotes
177 John Carlson	-17.814884373246997	Washington Capitals
178 Nikita Zaitsev	-18.13138937312628	Ottawa Senators
179 Seth Jones	-18.367410279270594	Chicago Blackhawks
180 Tim Berni	-19.082185935639632	Columbus Blue Jackets
181 Victor Soderstrom	-19.330422400490157	Arizona Coyotes
182 Brett Kulak	-20.010845389925993	Edmonton Oilers
183 Ian Cole	-20.389923252186314	Tampa Bay Lightning
184 Andrew Peeke	-21.03397730091084	Columbus Blue Jackets
185 Justin Schultz	-21.110248583857146	Seattle Kraken
186 Calle Rosen	-21.58539291991359	St. Louis Blues
187 Carson Soucy	-21.686679911631273	Seattle Kraken
188 Jared Spurgeon	-22.515109261527517	Minnesota Wild
189 Olli Maatta	-23.13205998697926	Detroit Red Wings
190 Brendan Smith	-23.597887862019743	New Jersey Devils
191 Mikey Anderson	-23.64146591270212	Los Angeles Kings
192 Derek Forbort	-23.766249801428412	Boston Bruins
193 Calen Addison	-23.818193470486133	Minnesota Wild
194 Philip Broberg	-24.077158119905455	Edmonton Oilers
195 Vince Dunn	-24.327405059541665	Seattle Kraken
196 Jordan Oesterle	-24.594900292762176	Detroit Red Wings
197 Jordan Harris	-25.090555080887782	Montréal Canadiens
198 Adam Boqvist	-25.549945532208312	Columbus Blue Jackets
199 Dylan Samberg	-25.619624358454285	Winnipeg Jets
200 Gustav Lindstrom	-26.62294346333904	Detroit Red Wings
201 Zach Bogosian	-27.076746698860248	Tampa Bay Lightning
202 Connor Murphy	-27.730786845976294	Chicago Blackhawks
203 Ryan McDonagh	-27.737826746053862	Nashville Predators
204 Jaycob Megna	-27.754944007815293	San Jose Sharks
205 Ethan Bear	-27.792989092032474	Vancouver Canucks
206 TJ Brodie	-27.800435617137587	Toronto Maple Leafs
207 Cam York	-28.21400131339566	Philadelphia Flyers
208 Matt Grzelcyk	-28.264928049149905	Boston Bruins
209 Artem Zub	-28.377145362564644	Ottawa Senators
210 Jordie Benn	-28.64938009571426	Toronto Maple Leafs
211 Radko Gudas	-29.13117396658056	Florida Panthers
212 Troy Stecher	-30.83163483478807	Arizona Coyotes
213 Ben Chiarot	-31.660395389686503	Detroit Red Wings
214 Caleb Jones	-32.099417921139164	Chicago Blackhawks
215 Nick Seeler	-32.65470754244727	Philadelphia Flyers
216 Erik Brannstrom	-33.4304284751255	Ottawa Senators
217 Charlie McAvoy	-33.55179445575467	Boston Bruins
218 Dante Fabbro	-33.704061808470826	Nashville Predators
219 Josh Mahura	-33.913676883295125	Florida Panthers
220 Damon Severson	-34.18260049385802	New Jersey Devils
221 Markus Niemelainen	-34.38748085741889	Edmonton Oilers
222 Martin Fehervary	-34.79782732196359	Washington Capitals
223 Dmitry Orlov	-35.0048749449965	Washington Capitals
224 Justin Barron	-35.22259576574192	Montréal Canadiens
225 Josh Brown	-35.82294443140736	Arizona Coyotes
226 Sean Walker	-35.85033261663722	Los Angeles Kings
227 Jacob Trouba	-37.231569147571456	New York Rangers
228 Chris Tanev	-37.38849079364854	Calgary Flames
229 John Klingberg	-38.757435536182236	Anaheim Ducks
230 Jeff Petry	-39.230147531862265	Pittsburgh Penguins
231 Oliver Ekman-Larsson	-39.54321686014082	Vancouver Canucks
232 Travis Sanheim	-39.83223573606136	Philadelphia Flyers
233 Adam Pelech	-40.82166613442943	New York Islanders
234 Cody Ceci	-41.45834803147781	Edmonton Oilers
235 Brandon Montour	-41.658222823961594	Florida Panthers
236 Jacob MacDonald	-41.794210722626325	Colorado Avalanche
237 Rasmus Ristolainen	-43.78240370861945	Philadelphia Flyers
238 Ryan Suter	-44.58215666585553	Dallas Stars
239 Timothy Liljegren	-44.62221386986029	Toronto Maple Leafs
240 Jeremy Lauzon	-44.8581201964833	Nashville Predators
241 Marcus Pettersson	-44.9935112833862	Pittsburgh Penguins
242 Rasmus Andersson	-45.09433722414524	Calgary Flames
243 Patrik Nemeth	-45.7771215610085	Arizona Coyotes
244 Jakob Chychrun	-46.863950791380304	Arizona Coyotes
245 Nick Holden	-47.04614291186192	Ottawa Senators
246 Tyler Myers	-48.07073661009303	Vancouver Canucks
247 Colin Miller	-48.9237281828536	Dallas Stars
248 Esa Lindell	-48.9684200278584	Dallas Stars
249 Jake Sanderson	-49.04571242581298	Ottawa Senators
250 Trevor van Riemsdyk	-49.108629028597164	Washington Capitals
251 Nick Jensen	-49.13690426487599	Washington Capitals
252 Alexander Edler	-49.464180726179734	Los Angeles Kings
253 Mike Matheson	-50.141043684898136	Montréal Canadiens
254 Mattias Ekholm	-51.2861435842604	Nashville Predators
255 Luke Schenn	-51.36508375893518	Vancouver Canucks
256 Ryan Pulock	-51.597301224244404	New York Islanders
257 Justin Holl	-51.698284063161985	Toronto Maple Leafs
258 Neal Pionk	-51.79464345717556	Winnipeg Jets
259 Matt Benning	-53.889591537920474	San Jose Sharks
260 Rasmus Dahlin	-53.96312457964029	Buffalo Sabres
261 Erik Karlsson	-54.12979161585505	San Jose Sharks
262 Ryan Graves	-54.52964955376613	New Jersey Devils
263 Dylan DeMelo	-55.1772124447219	Winnipeg Jets
264 Filip Hronek	-55.32864721548241	Detroit Red Wings
265 Erik Gudbranson	-55.4804534467538	Columbus Blue Jackets
266 Erik Gustafsson	-55.93566534232952	Washington Capitals
267 Sebastian Aho	-56.53902302147541	New York Islanders
268 Niko Mikkola	-57.234915666997445	St. Louis Blues
269 Chris Wideman	-58.76180875932884	Montréal Canadiens
270 J.J. Moser	-59.43665708126974	Arizona Coyotes
271 Kris Letang	-60.067720028844626	Pittsburgh Penguins
272 Braden Schneider	-60.11704139047094	New York Rangers
273 Matt Dumba	-60.46591185251435	Minnesota Wild
274 Josh Morrissey	-60.81701672446687	Winnipeg Jets
275 Victor Hedman	-61.04023385507395	Tampa Bay Lightning
276 Shayne Gostisbehere	-61.31150959933899	Arizona Coyotes
277 Nils Lundkvist	-61.80685842771482	Dallas Stars
278 Moritz Seider	-62.90976296595512	Detroit Red Wings
279 Rasmus Sandin	-63.19566799949681	Toronto Maple Leafs
280 Kaiden Guhle	-64.90134449466535	Montréal Canadiens
281 Arber Xhekaj	-65.90019042218657	Montréal Canadiens
282 Owen Power	-66.87784900816159	Buffalo Sabres
283 Nikita Zadorov	-67.27745854798923	Calgary Flames
284 Simon Benoit	-67.84115633838334	Anaheim Ducks
285 Mark Giordano	-69.4203984432864	Toronto Maple Leafs
286 Hampus Lindholm	-70.67328472853798	Boston Bruins
287 Connor Clifton	-70.94318451519858	Boston Bruins
288 Jack Johnson	-74.41306601679615	Chicago Blackhawks
289 Juuso Valimaki	-74.92334024722753	Arizona Coyotes
290 Aaron Ekblad	-77.9628678194104	Florida Panthers
291 Brenden Dillon	-78.15069199769817	Winnipeg Jets
292 MacKenzie Weegar	-78.80458374681415	Calgary Flames
293 Jani Hakanpää	-82.7726850847302	Dallas Stars
294 Tony DeAngelo	-84.52288748182335	Philadelphia Flyers
295 Alexander Romanov	-86.69680522284177	New York Islanders
296 Nate Schmidt	-87.92785360507501	Winnipeg Jets
297 Sean Durzi	-91.52446283211192	Los Angeles Kings
298 Dmitry Kulikov	-93.70606803202836	Anaheim Ducks
299 Drew Doughty	-96.52342108651207	Los Angeles Kings
300 Travis Hamonic	-97.65479024458962	Ottawa Senators
301 Morgan Rielly	-98.48510392905087	Toronto Maple Leafs
302 Matt Roy	-103.54610143790366	Los Angeles Kings
303 Scott Mayfield	-107.460554929942	New York Islanders
304 David Savard	-112.26097497751016	Montréal Canadiens
305 Ivan Provorov	-113.76450389663788	Philadelphia Flyers
306 Joel Edmundson	-115.73899520762325	Montréal Canadiens
307 Johnathan Kovacevic	-126.09493121309154	Montréal Canadiens
308 Thomas Chabot	-126.41385451013103	Ottawa Senators
309 Dougie Hamilton	-126.59143509855441	New Jersey Devils
310 Darnell Nurse	-131.60527328722478	Edmonton Oilers
