Defensemen	Blocks Base	Team
143 Erik Gustafsson	30	Washington Capitals
144 Nils Lundkvist	29	Dallas Stars
145 Johnathan Kovacevic	29	Montréal Canadiens
146 Nick Perbix	29	Tampa Bay Lightning
147 Timothy Liljegren	29	Toronto Maple Leafs
148 John Klingberg	28	Anaheim Ducks
149 Charlie McAvoy	28	Boston Bruins
150 Mattias Samuelsson	28	Buffalo Sabres
151 Nick Holden	28	Ottawa Senators
152 Justin Schultz	28	Seattle Kraken
153 Matt Irwin	28	Washington Capitals
154 Ilya Lyubushkin	27	Buffalo Sabres
155 Brent Burns	27	Carolina Hurricanes
156 Marcus Bjork	27	Columbus Blue Jackets
157 Aaron Ekblad	27	Florida Panthers
158 Alexandre Carrier	27	Nashville Predators
159 Quinn Hughes	27	Vancouver Canucks
160 Dylan DeMelo	27	Winnipeg Jets
161 Brendan Smith	26	New Jersey Devils
162 TJ Brodie	26	Toronto Maple Leafs
163 Colin Miller	25	Dallas Stars
164 Derek Forbort	24	Boston Bruins
165 Calvin de Haan	24	Carolina Hurricanes
166 Brady Skjei	24	Carolina Hurricanes
167 Zach Werenski	24	Columbus Blue Jackets
168 Arber Xhekaj	24	Montréal Canadiens
169 Nikita Zaitsev	24	Ottawa Senators
170 Morgan Rielly	24	Toronto Maple Leafs
171 Josh Manson	23	Colorado Avalanche
172 Jordan Oesterle	23	Detroit Red Wings
173 Oliver Ekman-Larsson	23	Vancouver Canucks
174 Juuso Valimaki	22	Arizona Coyotes
175 Filip Hronek	22	Detroit Red Wings
176 Alex Goligoski	22	Minnesota Wild
177 Jeremy Lauzon	22	Nashville Predators
178 Jake Bean	21	Columbus Blue Jackets
179 Samuel Girard	20	Colorado Avalanche
180 Josh Mahura	20	Florida Panthers
181 Libor Hajek	20	New York Rangers
182 Calle Rosen	20	St. Louis Blues
183 Dmitry Orlov	20	Washington Capitals
184 Henri Jokiharju	19	Buffalo Sabres
185 Michael Stone	19	Calgary Flames
186 Gavin Bayreuther	19	Columbus Blue Jackets
187 Dysin Mayo	18	Arizona Coyotes
188 Jake Walman	18	Detroit Red Wings
189 Chris Wideman	18	Montréal Canadiens
190 Robert Hagg	17	Detroit Red Wings
191 Jakob Chychrun	16	Arizona Coyotes
192 Calen Addison	16	Minnesota Wild
193 Sebastian Aho	16	New York Islanders
194 Artem Zub	16	Ottawa Senators
195 Robert Bortuzzo	16	St. Louis Blues
196 Lawrence Pilut	15	Buffalo Sabres
197 Jordie Benn	15	Toronto Maple Leafs
198 Colton White	13	Anaheim Ducks
