Rating Date,Team,Division,Average Ranking
25/12/2021 (v5.0),Columbus Blue Jackets,MET,19.0
25/12/2021 (v5.0),Dallas Stars,CEN,17.0
25/12/2021 (v5.0),Detroit Red Wings,ATL,21.25
25/12/2021 (v5.0),Edmonton Oilers,PAC,5.25
25/12/2021 (v5.0),Florida Panthers,ATL,6.75
25/12/2021 (v5.0),Los Angeles Kings,PAC,24.0
25/12/2021 (v5.0),Minnesota Wild,CEN,9.75
25/12/2021 (v5.0),Montreal Canadiens,ATL,29.75
25/12/2021 (v5.0),Nashville Predators,CEN,14.5
25/12/2021 (v5.0),New Jersey Devils,MET,19.75
25/12/2021 (v5.0),New York Islanders,MET,21.0
25/12/2021 (v5.0),New York Rangers,MET,6.0
25/12/2021 (v5.0),Ottawa Senators,ATL,25.5
25/12/2021 (v5.0),Philadelphia Flyers,MET,18.5
25/12/2021 (v5.0),Pittsburgh Penguins,MET,15.25
25/12/2021 (v5.0),San Jose Sharks,PAC,14.0
25/12/2021 (v5.0),Seattle Kraken,PAC,26.5
25/12/2021 (v5.0),St. Louis Blues,CEN,9.5
25/12/2021 (v5.0),Tampa Bay Lightning,ATL,7.5
25/12/2021 (v5.0),Toronto Maple Leafs,ATL,9.75
25/12/2021 (v5.0),Vancouver Canucks,PAC,25.25
25/12/2021 (v5.0),Vegas Golden Knights,PAC,15.25
25/12/2021 (v5.0),Washington Capitals,MET,8.75
25/12/2021 (v5.0),Winnipeg Jets,CEN,18.0
29/1/2021 (v5.0),Anaheim Ducks,PAC,17.6
29/1/2021 (v5.0),Arizona Coyotes,CEN,31.8
29/1/2021 (v5.0),Boston Bruins,ATL,11.2
29/1/2021 (v5.0),Buffalo Sabres,ATL,23.8
29/1/2021 (v5.0),Calgary Flames,CEN,14.0
29/1/2021 (v5.0),Carolina Hurricanes,MET,1.6
29/1/2021 (v5.0),Chicago Blackhawks,CEN,27.2
29/1/2021 (v5.0),Colorado Avalanche,CEN,10.4
29/1/2021 (v5.0),Columbus Blue Jackets,MET,19.6
29/1/2021 (v5.0),Dallas Stars,CEN,16.6
29/1/2021 (v5.0),Detroit Red Wings,ATL,22.0
29/1/2021 (v5.0),Edmonton Oilers,PAC,7.0
29/1/2021 (v5.0),Florida Panthers,ATL,6.0
29/1/2021 (v5.0),Los Angeles Kings,PAC,21.8
29/1/2021 (v5.0),Minnesota Wild,CEN,9.4
29/1/2021 (v5.0),Montreal Canadiens,ATL,30.2
29/1/2021 (v5.0),Nashville Predators,CEN,13.8
29/1/2021 (v5.0),New Jersey Devils,MET,21.2
29/1/2021 (v5.0),New York Islanders,MET,20.8
29/1/2021 (v5.0),New York Rangers,MET,6.8
29/1/2021 (v5.0),Ottawa Senators,ATL,25.6
29/1/2021 (v5.0),Philadelphia Flyers,MET,20.8
29/1/2021 (v5.0),Pittsburgh Penguins,MET,13.4
29/1/2021 (v5.0),San Jose Sharks,PAC,15.0
29/1/2021 (v5.0),Seattle Kraken,PAC,26.8
29/1/2021 (v5.0),St. Louis Blues,CEN,9.4
29/1/2021 (v5.0),Tampa Bay Lightning,ATL,7.4
29/1/2021 (v5.0),Toronto Maple Leafs,ATL,8.6
29/1/2021 (v5.0),Vancouver Canucks,PAC,24.8
29/1/2021 (v5.0),Vegas Golden Knights,PAC,14.6
29/1/2021 (v5.0),Washington Capitals,MET,10.2
29/1/2021 (v5.0),Winnipeg Jets,CEN,18.6
26/2/2021 (v5.0),Anaheim Ducks,PAC,18.0
26/2/2021 (v5.0),Arizona Coyotes,CEN,31.5
26/2/2021 (v5.0),Boston Bruins,ATL,11.666666666666666
26/2/2021 (v5.0),Buffalo Sabres,ATL,25.0
26/2/2021 (v5.0),Calgary Flames,CEN,12.666666666666666
26/2/2021 (v5.0),Carolina Hurricanes,MET,1.5
26/2/2021 (v5.0),Chicago Blackhawks,CEN,27.166666666666668
26/2/2021 (v5.0),Colorado Avalanche,CEN,9.0
26/2/2021 (v5.0),Columbus Blue Jackets,MET,19.166666666666668
26/2/2021 (v5.0),Dallas Stars,CEN,16.333333333333332
26/2/2021 (v5.0),Detroit Red Wings,ATL,22.166666666666668
26/2/2021 (v5.0),Edmonton Oilers,PAC,8.0
26/2/2021 (v5.0),Florida Panthers,ATL,5.5
26/2/2021 (v5.0),Los Angeles Kings,PAC,19.833333333333332
26/2/2021 (v5.0),Minnesota Wild,CEN,9.666666666666666
26/2/2021 (v5.0),Montreal Canadiens,ATL,30.0
26/2/2021 (v5.0),Nashville Predators,CEN,14.166666666666666
26/2/2021 (v5.0),New Jersey Devils,MET,22.0
26/2/2021 (v5.0),New York Islanders,MET,21.333333333333332
26/2/2021 (v5.0),New York Rangers,MET,7.0
26/2/2021 (v5.0),Ottawa Senators,ATL,25.5
26/2/2021 (v5.0),Philadelphia Flyers,MET,22.0
26/2/2021 (v5.0),Pittsburgh Penguins,MET,12.666666666666666
26/2/2021 (v5.0),San Jose Sharks,PAC,16.166666666666668
26/2/2021 (v5.0),Seattle Kraken,PAC,27.666666666666668
26/2/2021 (v5.0),St. Louis Blues,CEN,9.0
26/2/2021 (v5.0),Tampa Bay Lightning,ATL,7.0
26/2/2021 (v5.0),Toronto Maple Leafs,ATL,7.833333333333333
26/2/2021 (v5.0),Vancouver Canucks,PAC,23.833333333333332
26/2/2021 (v5.0),Vegas Golden Knights,PAC,14.166666666666666
26/2/2021 (v5.0),Washington Capitals,MET,11.5
26/2/2021 (v5.0),Winnipeg Jets,CEN,19.0
05/03/2021 (v5.0),Anaheim Ducks,PAC,18.428571428571427
05/03/2021 (v5.0),Arizona Coyotes,CEN,31.142857142857142
05/03/2021 (v5.0),Boston Bruins,ATL,11.285714285714286
05/03/2021 (v5.0),Buffalo Sabres,ATL,25.714285714285715
05/03/2021 (v5.0),Calgary Flames,CEN,11.714285714285714
05/03/2021 (v5.0),Carolina Hurricanes,MET,1.4285714285714286
05/03/2021 (v5.0),Chicago Blackhawks,CEN,27.285714285714285
05/03/2021 (v5.0),Colorado Avalanche,CEN,8.0
05/03/2021 (v5.0),Columbus Blue Jackets,MET,19.142857142857142
05/03/2021 (v5.0),Dallas Stars,CEN,15.571428571428571
05/03/2021 (v5.0),Detroit Red Wings,ATL,22.428571428571427
05/03/2021 (v5.0),Edmonton Oilers,PAC,9.142857142857142
05/03/2021 (v5.0),Florida Panthers,ATL,5.142857142857143
05/03/2021 (v5.0),Los Angeles Kings,PAC,18.714285714285715
05/03/2021 (v5.0),Minnesota Wild,CEN,10.142857142857142
05/03/2021 (v5.0),Montreal Canadiens,ATL,29.571428571428573
05/03/2021 (v5.0),Nashville Predators,CEN,14.142857142857142
05/03/2021 (v5.0),New Jersey Devils,MET,22.428571428571427
05/03/2021 (v5.0),New York Islanders,MET,21.428571428571427
05/03/2021 (v5.0),New York Rangers,MET,6.714285714285714
05/03/2021 (v5.0),Ottawa Senators,ATL,25.571428571428573
05/03/2021 (v5.0),Philadelphia Flyers,MET,23.285714285714285
05/03/2021 (v5.0),Pittsburgh Penguins,MET,12.0
05/03/2021 (v5.0),San Jose Sharks,PAC,17.142857142857142
05/03/2021 (v5.0),Seattle Kraken,PAC,28.285714285714285
05/03/2021 (v5.0),St. Louis Blues,CEN,9.142857142857142
05/03/2021 (v5.0),Tampa Bay Lightning,ATL,6.571428571428571
05/03/2021 (v5.0),Toronto Maple Leafs,ATL,7.714285714285714
05/03/2021 (v5.0),Vancouver Canucks,PAC,23.0
05/03/2021 (v5.0),Vegas Golden Knights,PAC,14.285714285714286
05/03/2021 (v5.0),Washington Capitals,MET,12.285714285714286
05/03/2021 (v5.0),Winnipeg Jets,CEN,19.142857142857142
