Team	Scoring Rating
Anaheim Ducks	0.4780917300367245
Arizona Coyotes	0.02836650857982948
Boston Bruins	0.761016874165856
Buffalo Sabres	0.11551286728182175
Calgary Flames	0.8574994480896818
Carolina Hurricanes	0.9251259222288002
Chicago Blackhawks	0.13852886633451636
Colorado Avalanche	0.9163812390635205
Columbus Blue Jackets	0.16849636273881669
Dallas Stars	0.43877137004172784
Detroit Red Wings	0.15937795337253502
Edmonton Oilers	0.5227439049170934
Florida Panthers	0.9294432173717155
Los Angeles Kings	0.6417238809545301
Minnesota Wild	0.8142543860711526
Montreal Canadiens	0.03267037927906299
Nashville Predators	0.5985293706239931
New Jersey Devils	0.3081221707683941
New York Islanders	0.3260849396108743
New York Rangers	0.5733248893269809
Ottawa Senators	0.19821968252874628
Philadelphia Flyers	0.1303696049185358
Pittsburgh Penguins	0.8704768812494319
San Jose Sharks	0.33762982161136057
Seattle Kraken	0.19070400678591665
St. Louis Blues	0.7175400476964193
Tampa Bay Lightning	0.7474471103049274
Toronto Maple Leafs	0.8555643771745403
Vancouver Canucks	0.41220425221612556
Vegas Golden Knights	0.7264537866645582
Washington Capitals	0.7781717504228366
Winnipeg Jets	0.5074336638893318
