Forward	Power Play Utilization Corrected	Team
108 Andrei Kuzmenko	0.8514490245756489	Vancouver Canucks
109 Travis Boyd	0.8504989833686988	Arizona Coyotes
110 Pavel Buchnevich	0.8406531089568751	St. Louis Blues
111 Jack Eichel	0.8336684851630625	Vegas Golden Knights
112 Jared McCann	0.8330892704248452	Seattle Kraken
113 Jack Roslovic	0.8330503061035225	Columbus Blue Jackets
114 Reilly Smith	0.8266077820256369	Vegas Golden Knights
115 Roope Hintz	0.8253312274287901	Dallas Stars
116 Stefan Noesen	0.8238306071917316	Carolina Hurricanes
117 Matty Beniers	0.8210409370185009	Seattle Kraken
118 Boone Jenner	0.8198060331355213	Columbus Blue Jackets
119 Brandon Hagel	0.8193831972007023	Tampa Bay Lightning
120 Gabriel Vilardi	0.8147127271546949	Los Angeles Kings
121 Morgan Frost	0.8119121871126252	Philadelphia Flyers
122 Claude Giroux	0.8061158766232671	Ottawa Senators
123 J.T. Compher	0.8002212306546768	Colorado Avalanche
124 Oliver Bjorkstrand	0.7953480576038405	Seattle Kraken
125 Vladimir Tarasenko	0.7901515938480708	St. Louis Blues
126 Tyler Seguin	0.7774215716427668	Dallas Stars
127 Joel Farabee	0.7701624184908329	Philadelphia Flyers
128 Owen Tippett	0.7611930925926494	Philadelphia Flyers
129 Ryan Strome	0.7604839559473726	Anaheim Ducks
130 T.J. Oshie	0.758806719042182	Washington Capitals
131 Alex Wennberg	0.7578374100012297	Seattle Kraken
132 Scott Laughton	0.7528568856051896	Philadelphia Flyers
133 Taylor Hall	0.751051583262679	Boston Bruins
134 Seth Jarvis	0.7423962086940529	Carolina Hurricanes
135 Victor Olofsson	0.7417332892362287	Buffalo Sabres
136 Bryan Rust	0.7399919527953733	Pittsburgh Penguins
137 David Krejci	0.7385176594929312	Boston Bruins
138 Jaden Schwartz	0.7384606089825752	Seattle Kraken
139 Ivan Barbashev	0.7336504207256964	St. Louis Blues
140 Jake DeBrusk	0.7316742485123849	Boston Bruins
141 Noah Cates	0.7274400696663766	Philadelphia Flyers
142 Brock Boeser	0.7204614277588003	Vancouver Canucks
143 Nino Niederreiter	0.7199658721073373	Nashville Predators
144 Nick Schmaltz	0.7170361855111869	Arizona Coyotes
145 Christian Dvorak	0.7165349809830713	Montréal Canadiens
146 Phillip Danault	0.7137030367704178	Los Angeles Kings
147 Casey Mittelstadt	0.7108925656385907	Buffalo Sabres
148 Tomas Tatar	0.7106956705209388	New Jersey Devils
149 Blake Wheeler	0.708643556645456	Winnipeg Jets
150 William Karlsson	0.7059291882164842	Vegas Golden Knights
151 Philipp Kurashev	0.7015669856946163	Chicago Blackhawks
152 Gustav Nyquist	0.6967219287043694	Columbus Blue Jackets
153 Barrett Hayton	0.6952757336825519	Arizona Coyotes
154 Daniel Sprong	0.6946374283119722	Seattle Kraken
155 Michael Bunting	0.6897725910065998	Toronto Maple Leafs
156 Andrew Mangiapane	0.68697083757399	Calgary Flames
157 Evan Rodrigues	0.6864230247069664	Colorado Avalanche
158 Viktor Arvidsson	0.6855040852094361	Los Angeles Kings
159 Sam Bennett	0.6798002023500487	Florida Panthers
160 Jesperi Kotkaniemi	0.6719750211518556	Carolina Hurricanes
161 Mike Hoffman	0.6707286522391988	Montréal Canadiens
162 Carter Verhaeghe	0.6699245087946619	Florida Panthers
163 Lawson Crouse	0.6646400874103816	Arizona Coyotes
164 Phil Kessel	0.6633281785681692	Vegas Golden Knights
165 Teuvo Teravainen	0.6569908964680559	Carolina Hurricanes
166 Mason Marchment	0.6534535851876363	Dallas Stars
167 Shane Pinto	0.6515575352988068	Ottawa Senators
168 Jakob Silfverberg	0.6500453835859392	Anaheim Ducks
169 Kent Johnson	0.6457159808638099	Columbus Blue Jackets
170 Nicolas Roy	0.6438042713490284	Vegas Golden Knights
171 Frank Vatrano	0.6373597870727133	Anaheim Ducks
172 Corey Perry	0.6367947452302871	Tampa Bay Lightning
173 Brandon Saad	0.6265275859149178	St. Louis Blues
174 Mikael Backlund	0.625726225315041	Calgary Flames
175 Paul Stastny	0.6207610256533361	Carolina Hurricanes
176 James van Riemsdyk	0.6203538720836899	Philadelphia Flyers
177 Zach Parise	0.6158564880840179	New York Islanders
178 Oskar Sundqvist	0.6140695187502154	Detroit Red Wings
179 Wyatt Johnston	0.60842088108903	Dallas Stars
180 Alex Killorn	0.6018174593671647	Tampa Bay Lightning
181 Anton Lundell	0.6015414879760206	Florida Panthers
182 Andreas Athanasiou	0.6010668358633019	Chicago Blackhawks
183 Nick Bonino	0.6004564457841407	San Jose Sharks
184 Ryan O'Reilly	0.5929523066937706	St. Louis Blues
185 Andrew Copp	0.5912982976099027	Detroit Red Wings
186 Kevin Labanc	0.5828477712698783	San Jose Sharks
187 Sean Monahan	0.5816668747977468	Montréal Canadiens
188 Josh Bailey	0.5814411073749554	New York Islanders
189 Josh Anderson	0.565796707489278	Montréal Canadiens
190 Alex Newhook	0.5562563092446905	Colorado Avalanche
191 Anthony Beauvillier	0.549653478956248	New York Islanders
192 Trevor Moore	0.5470183103470125	Los Angeles Kings
193 Juuso Parssinen	0.5410166269179841	Nashville Predators
194 Jonathan Drouin	0.5369559816103622	Montréal Canadiens
195 Conor Garland	0.5239598384944867	Vancouver Canucks
196 Cole Perfetti	0.5234381639926416	Winnipeg Jets
197 Adam Ruzicka	0.5231884303184363	Calgary Flames
198 Arthur Kaliyev	0.5190415753654813	Los Angeles Kings
199 Dillon Dube	0.5176263679523212	Calgary Flames
200 Pavel Zacha	0.5114944028848433	Boston Bruins
201 Matias Maccelli	0.511309805097984	Arizona Coyotes
202 Jack Quinn	0.5035574477394508	Buffalo Sabres
203 Adam Lowry	0.4974874221168235	Winnipeg Jets
204 Miles Wood	0.49683942245087437	New Jersey Devils
