Forward	Power Play Utilization Base	Team
109 Jake DeBrusk	0.4117867867867868	Boston Bruins
110 Jordan Eberle	0.4117383512544803	Seattle Kraken
111 Lucas Raymond	0.41041666666666665	Detroit Red Wings
112 Sean Monahan	0.4063573883161512	Montréal Canadiens
113 Adrian Kempe	0.40242165242165245	Los Angeles Kings
114 Brayden Schenn	0.39704641350210973	St. Louis Blues
115 Jared McCann	0.39623655913978495	Seattle Kraken
116 Noah Cates	0.39614695340501793	Philadelphia Flyers
117 Jaden Schwartz	0.3959677419354839	Seattle Kraken
118 Dylan Cozens	0.39092920353982297	Buffalo Sabres
119 Matty Beniers	0.3896057347670251	Seattle Kraken
120 Gabriel Vilardi	0.38817663817663817	Los Angeles Kings
121 Jack Roslovic	0.3866033755274262	Columbus Blue Jackets
122 Alex Wennberg	0.3794802867383512	Seattle Kraken
123 Owen Tippett	0.378405017921147	Philadelphia Flyers
124 Joel Farabee	0.37777777777777777	Philadelphia Flyers
125 Oliver Bjorkstrand	0.37679211469534046	Seattle Kraken
126 Claude Giroux	0.3722713864306785	Ottawa Senators
127 T.J. Oshie	0.37106481481481485	Washington Capitals
128 Patrik Laine	0.3679324894514768	Columbus Blue Jackets
129 Rickard Rakell	0.366006600660066	Pittsburgh Penguins
130 Ryan O'Reilly	0.36434599156118147	St. Louis Blues
131 Morgan Frost	0.35681003584229387	Philadelphia Flyers
132 Brad Marchand	0.35615615615615615	Boston Bruins
133 Victor Olofsson	0.35014749262536876	Buffalo Sabres
134 William Karlsson	0.3450374531835206	Vegas Golden Knights
135 Tyler Seguin	0.34157608695652175	Dallas Stars
136 Ryan Strome	0.34108527131782945	Anaheim Ducks
137 Ivan Barbashev	0.34082278481012657	St. Louis Blues
138 Casey Mittelstadt	0.3398230088495575	Buffalo Sabres
139 J.T. Compher	0.33888888888888885	Colorado Avalanche
140 Brandon Hagel	0.3371495327102804	Tampa Bay Lightning
141 Pavel Buchnevich	0.33554852320675105	St. Louis Blues
