Forward	Even Strength Utilization Base	Team
108 Shane Pinto	0.22776094276094275	Ottawa Senators
109 Jordan Eberle	0.2276388888888889	Seattle Kraken
110 Alex Tuch	0.22730034722222223	Buffalo Sabres
111 Tim Stützle	0.22687710437710437	Ottawa Senators
112 Seth Jarvis	0.2268097643097643	Carolina Hurricanes
113 Kevin Labanc	0.2267063492063492	San Jose Sharks
114 Mikael Backlund	0.22617647058823528	Calgary Flames
115 Anders Lee	0.22580065359477125	New York Islanders
116 Jordan Martinook	0.2255976430976431	Carolina Hurricanes
117 Anthony Mantha	0.2251904761904762	Washington Capitals
118 Adam Henrique	0.2250408496732026	Anaheim Ducks
119 Logan Couture	0.22476190476190477	San Jose Sharks
120 Chris Kreider	0.22475396825396826	New York Rangers
121 Nico Hischier	0.2246212121212121	New Jersey Devils
122 Elias Pettersson	0.22435763888888888	Vancouver Canucks
123 Cole Perfetti	0.22432659932659935	Winnipeg Jets
124 Tomas Tatar	0.22334175084175084	New Jersey Devils
125 Nino Niederreiter	0.2224641577060932	Nashville Predators
126 Andrew Mangiapane	0.22231209150326797	Calgary Flames
127 Andrew Copp	0.22199652777777779	Detroit Red Wings
128 Nick Bjugstad	0.22196236559139787	Arizona Coyotes
129 Roope Hintz	0.2219281045751634	Dallas Stars
130 Erik Haula	0.2214057239057239	New Jersey Devils
131 Ivan Barbashev	0.21966329966329967	St. Louis Blues
132 Jean-Gabriel Pageau	0.21962418300653597	New York Islanders
133 Alex Killorn	0.219375	Tampa Bay Lightning
134 Conor Garland	0.21885416666666666	Vancouver Canucks
135 Conor Sheary	0.2188015873015873	Washington Capitals
136 Logan O'Connor	0.21853046594982078	Colorado Avalanche
137 Jonathan Toews	0.2181989247311828	Chicago Blackhawks
138 Oliver Bjorkstrand	0.21803819444444444	Seattle Kraken
139 Blake Coleman	0.2179656862745098	Calgary Flames
140 Tyler Toffoli	0.21793300653594772	Calgary Flames
141 Alex Newhook	0.2174731182795699	Colorado Avalanche
142 Ilya Mikheyev	0.21698784722222222	Vancouver Canucks
143 Charlie Coyle	0.21693576388888888	Boston Bruins
144 Dylan Strome	0.21649206349206349	Washington Capitals
145 Elias Lindholm	0.21584967320261436	Calgary Flames
146 Lars Eller	0.21553174603174605	Washington Capitals
147 David Perron	0.215390625	Detroit Red Wings
148 Christian Dvorak	0.21528619528619528	Montréal Canadiens
149 JJ Peterka	0.21467881944444445	Buffalo Sabres
150 Taylor Raddysh	0.214668458781362	Chicago Blackhawks
