Forward	Plus_Minus Base	Team
117 Christian Fischer	18.566666666666666	Arizona Coyotes
118 Ivan Barbashev	18.5	St. Louis Blues
119 Pierre Engvall	18.46666666666667	Toronto Maple Leafs
120 Frederick Gaudreau	18.433333333333334	Minnesota Wild
121 Dawson Mercer	18.416666666666664	New Jersey Devils
122 Josh Norris	18.333333333333332	Ottawa Senators
123 Josh Archibald	18.3	Pittsburgh Penguins
124 Claude Giroux	18.133333333333333	Ottawa Senators
125 Jack Quinn	18.05	Buffalo Sabres
126 Ryan Donato	17.85	Seattle Kraken
127 Mason Marchment	17.8	Dallas Stars
128 Michael McLeod	17.78333333333333	New Jersey Devils
129 Teuvo Teravainen	17.75	Carolina Hurricanes
130 Nathan Bastian	17.71666666666667	New Jersey Devils
131 Ondrej Palat	17.7	New Jersey Devils
132 Lawson Crouse	17.666666666666668	Arizona Coyotes
133 Adam Ruzicka	17.583333333333336	Calgary Flames
134 Mason Appleton	17.566666666666666	Winnipeg Jets
135 Jonathan Marchessault	17.55	Vegas Golden Knights
136 Nicolas Roy	17.483333333333334	Vegas Golden Knights
137 Mike Hoffman	17.433333333333334	Montréal Canadiens
138 John Tavares	17.383333333333333	Toronto Maple Leafs
139 Mathieu Joseph	17.333333333333336	Ottawa Senators
140 Michael Eyssimont	17.28333333333333	Winnipeg Jets
141 Alexis Lafrenière	17.266666666666666	New York Rangers
142 Jesper Fast	17.066666666666666	Carolina Hurricanes
143 Nic Dowd	17.03333333333333	Washington Capitals
144 Kyle Okposo	16.983333333333334	Buffalo Sabres
145 Morgan Barron	16.933333333333334	Winnipeg Jets
146 Tyler Toffoli	16.916666666666668	Calgary Flames
147 Jansen Harkins	16.8	Winnipeg Jets
148 Patrik Laine	16.6	Columbus Blue Jackets
149 JJ Peterka	16.583333333333336	Buffalo Sabres
150 Wade Allison	16.5	Philadelphia Flyers
151 Evgeny Kuznetsov	16.5	Washington Capitals
152 Carter Verhaeghe	16.416666666666668	Florida Panthers
153 Oliver Wahlstrom	16.416666666666664	New York Islanders
154 Colton Sissons	16.35	Nashville Predators
155 Elias Lindholm	16.283333333333335	Calgary Flames
156 Cal Clutterbuck	16.266666666666666	New York Islanders
157 William Carrier	16.266666666666666	Vegas Golden Knights
158 Andrew Copp	16.25	Detroit Red Wings
159 Josh Bailey	16.2	New York Islanders
160 Lukas Sedlak	16.2	Philadelphia Flyers
161 Tyler Motte	16.15	Ottawa Senators
162 Derick Brassard	16.1	Ottawa Senators
163 David Krejci	16.016666666666666	Boston Bruins
164 Anders Lee	16.016666666666666	New York Islanders
