Forward	Points Base	Team
108 Matt Duchene	0.04438789098333974	Nashville Predators
109 Matt Boldy	0.04388432541915157	Minnesota Wild
110 Brock Boeser	0.04372802880905428	Vancouver Canucks
111 Nazem Kadri	0.04362660104032664	Calgary Flames
112 Reilly Smith	0.04357176772896126	Vegas Golden Knights
113 Brandon Hagel	0.04333694474539545	Tampa Bay Lightning
114 Brayden Schenn	0.04329504127460602	St. Louis Blues
115 Jonathan Huberdeau	0.043268326330971336	Calgary Flames
116 Logan Couture	0.04261147466139096	San Jose Sharks
117 Evgeny Kuznetsov	0.04258563129255277	Washington Capitals
118 Patrik Laine	0.04247223819846923	Columbus Blue Jackets
119 Tyler Seguin	0.041980059471750916	Dallas Stars
120 J.T. Miller	0.041900486344930786	Vancouver Canucks
121 Joel Eriksson Ek	0.04177195606209066	Minnesota Wild
122 Anders Lee	0.04154405400727021	New York Islanders
123 Nick Foligno	0.04153506684549821	Boston Bruins
124 Troy Terry	0.041101922982825265	Anaheim Ducks
125 Alex Killorn	0.04109589041095891	Tampa Bay Lightning
126 Ross Colton	0.040957495221625555	Tampa Bay Lightning
127 Mark Stone	0.04092570036540804	Vegas Golden Knights
128 Aleksander Barkov	0.04083400358844274	Florida Panthers
129 Kent Johnson	0.04075048815688938	Columbus Blue Jackets
130 Mark Scheifele	0.040723323798904344	Winnipeg Jets
131 Trent Frederic	0.0405616224648986	Boston Bruins
132 Dylan Strome	0.040292117854444726	Washington Capitals
133 Vinnie Hinostroza	0.040275213962074174	Buffalo Sabres
134 Cole Perfetti	0.04012304400160492	Winnipeg Jets
135 Anze Kopitar	0.03974054449113831	Los Angeles Kings
136 Stefan Noesen	0.03969566655640093	Carolina Hurricanes
137 Victor Olofsson	0.03965485588397283	Buffalo Sabres
138 Vincent Trocheck	0.039541506813848944	New York Rangers
139 Adam Lowry	0.03944902856767152	Winnipeg Jets
140 Alexander Barabanov	0.03941564738636719	San Jose Sharks
141 Gabriel Vilardi	0.0394100435898967	Los Angeles Kings
142 Mason Marchment	0.039259674705552444	Dallas Stars
143 Sean Monahan	0.03915396721814902	Montréal Canadiens
144 Mason McTavish	0.038997023911333084	Anaheim Ducks
145 Oliver Wahlstrom	0.038874266045758256	New York Islanders
146 William Karlsson	0.0388098318240621	Vegas Golden Knights
147 Chris Kreider	0.03850235703531851	New York Rangers
148 Dillon Dube	0.03828728224108225	Calgary Flames
149 Nicholas Paul	0.03823047515019116	Tampa Bay Lightning
150 Pavel Zacha	0.037817216785536574	Boston Bruins
151 Julien Gauthier	0.037709168041480084	New York Rangers
152 Kirby Dach	0.03769382335303693	Montréal Canadiens
153 Sam Bennett	0.037391280786842604	Florida Panthers
154 Trevor Zegras	0.03734594796464584	Anaheim Ducks
155 Justin Danforth	0.03734439834024896	Columbus Blue Jackets
156 Artturi Lehkonen	0.037326094333220226	Colorado Avalanche
157 Anthony Mantha	0.03726586250858095	Washington Capitals
158 Pontus Holmberg	0.03687768899815612	Toronto Maple Leafs
159 Rickard Rakell	0.03675446900929999	Pittsburgh Penguins
160 Yanni Gourde	0.03650686905562494	Seattle Kraken
161 Max Domi	0.036493179251020934	Chicago Blackhawks
162 Boone Jenner	0.03633060853769301	Columbus Blue Jackets
163 Bryan Rust	0.03631019278983314	Pittsburgh Penguins
164 Kevin Labanc	0.03577143932975619	San Jose Sharks
165 Dawson Mercer	0.035678889990089196	New Jersey Devils
166 Sam Reinhart	0.03567800599588712	Florida Panthers
167 Michael McLeod	0.03565365025466893	New Jersey Devils
168 Blake Lizotte	0.035550639911518404	Los Angeles Kings
169 Phillip Danault	0.03523824115213727	Los Angeles Kings
170 Patrick Kane	0.035106382978723406	Chicago Blackhawks
171 Corey Perry	0.034979595236112264	Tampa Bay Lightning
172 Kyle Okposo	0.03476245654692932	Buffalo Sabres
173 Klim Kostin	0.03468208092485549	Edmonton Oilers
174 Ryan Johansen	0.03465027006828141	Nashville Predators
175 Fabian Zetterlund	0.03455608718766614	New Jersey Devils
176 Michael Rasmussen	0.03454364013203347	Detroit Red Wings
177 A.J. Greer	0.034443168771526984	Boston Bruins
178 Nick Ritchie	0.03439760098782854	Arizona Coyotes
179 Jakub Voracek	0.034178296781543716	Columbus Blue Jackets
180 Eetu Luostarinen	0.03415775823897779	Florida Panthers
181 Barclay Goodrow	0.03410275032366036	New York Rangers
182 Ilya Mikheyev	0.034097746874373204	Vancouver Canucks
183 Brock McGinn	0.034026465028355386	Pittsburgh Penguins
184 Owen Tippett	0.03402204344898465	Philadelphia Flyers
185 Casey Mittelstadt	0.03401360544217687	Buffalo Sabres
186 Adrian Kempe	0.03396003543655872	Los Angeles Kings
187 Tomas Tatar	0.033956987815433784	New Jersey Devils
188 Brandon Tanev	0.033873187255213294	Seattle Kraken
189 Yegor Sharangovich	0.033804007183351525	New Jersey Devils
190 Mason Shaw	0.033659730722154224	Minnesota Wild
191 Mikael Granlund	0.033566433566433566	Nashville Predators
192 Jack Roslovic	0.03340757238307349	Columbus Blue Jackets
193 Colin White	0.03333024719933339	Florida Panthers
194 Sheldon Dries	0.0332752337189035	Vancouver Canucks
195 Anton Lundell	0.03326074044743615	Florida Panthers
196 Conor Sheary	0.03314049827029855	Washington Capitals
197 Nino Niederreiter	0.03292519806564462	Nashville Predators
198 JJ Peterka	0.03272489273507381	Buffalo Sabres
199 Miles Wood	0.03270009342883837	New Jersey Devils
200 Yegor Chinakhov	0.03269891842039071	Columbus Blue Jackets
201 Seth Jarvis	0.03265044814340589	Carolina Hurricanes
202 Ryan Hartman	0.032638259292837715	Minnesota Wild
203 Oliver Bjorkstrand	0.03235809626533639	Seattle Kraken
204 Andrew Copp	0.03232952164281866	Detroit Red Wings
205 Oskar Sundqvist	0.03230348712001988	Detroit Red Wings
206 Alexis Lafrenière	0.03223054317944828	New York Rangers
207 Lucas Raymond	0.03219843777950033	Detroit Red Wings
208 Ryan Donato	0.032133676092544985	Seattle Kraken
209 Jonathan Toews	0.03197592401015706	Chicago Blackhawks
210 Jeff Carter	0.031879767733120803	Pittsburgh Penguins
211 Lawson Crouse	0.03186106078590616	Arizona Coyotes
212 Nick Cousins	0.031816428846895485	Florida Panthers
213 Rasmus Asplund	0.03179860881086452	Buffalo Sabres
214 Charlie Coyle	0.031672100605496044	Boston Bruins
215 Calle Jarnkrok	0.031482541499713794	Toronto Maple Leafs
216 William Carrier	0.030686914784798174	Vegas Golden Knights
217 Nicholas Robertson	0.030624744793793384	Toronto Maple Leafs
218 Jaden Schwartz	0.03059204606802231	Seattle Kraken
219 Ivan Barbashev	0.03053726500620288	St. Louis Blues
220 Shane Pinto	0.030520760475615184	Ottawa Senators
221 Connor Dewar	0.0304147465437788	Minnesota Wild
222 Michael Eyssimont	0.030358227079538558	Winnipeg Jets
223 Mike Hoffman	0.03033673778946304	Montréal Canadiens
224 Phil Kessel	0.03031245142235349	Vegas Golden Knights
225 Brandon Duhaime	0.03014696646149981	Minnesota Wild
226 Juraj Slafkovsky	0.030120481927710843	Montréal Canadiens
227 Conor Garland	0.030097817908201655	Vancouver Canucks
228 T.J. Oshie	0.03002866372446426	Washington Capitals
229 Mikael Backlund	0.029934310817927322	Calgary Flames
230 Trevor Moore	0.029867169692682546	Los Angeles Kings
231 Jordan Martinook	0.029505294561190703	Carolina Hurricanes
232 Ryan Strome	0.02945252945252945	Anaheim Ducks
233 Nic Dowd	0.029339853300733496	Washington Capitals
234 Josh Leivo	0.029074462930059764	St. Louis Blues
235 Jean-Gabriel Pageau	0.02902211592722973	New York Islanders
236 Danton Heinen	0.02899671370578001	Pittsburgh Penguins
237 Brett Ritchie	0.028985507246376812	Calgary Flames
238 Zach Parise	0.02895316222818711	New York Islanders
239 Alexander Kerfoot	0.0289054470709147	Toronto Maple Leafs
240 Ty Dellandrea	0.02887193235718705	Dallas Stars
241 Joel Farabee	0.028869831026577225	Philadelphia Flyers
242 Rudolfs Balcers	0.02882121241233548	Tampa Bay Lightning
243 Wyatt Johnston	0.028761213449291244	Dallas Stars
244 Teuvo Teravainen	0.028681934726869758	Carolina Hurricanes
245 Tyler Bertuzzi	0.028625954198473285	Detroit Red Wings
246 Kevin Stenlund	0.028530670470756064	Winnipeg Jets
247 Sam Steel	0.028353326063249727	Minnesota Wild
248 Adam Henrique	0.028331759346702963	Anaheim Ducks
249 Adam Erne	0.028210785200188073	Detroit Red Wings
250 Nicolas Aube-Kubel	0.028053769725306835	Washington Capitals
251 Marcus Johansson	0.028039020970851102	Washington Capitals
252 Kaapo Kakko	0.028038256643509143	New York Rangers
253 Josh Bailey	0.027996123613653494	New York Islanders
254 Anthony Beauvillier	0.027819387973464584	New York Islanders
255 Mark Jankowski	0.027788498649170205	Nashville Predators
256 Nathan Bastian	0.0277713492247165	New Jersey Devils
257 Morgan Barron	0.02773640145872926	Winnipeg Jets
258 Sam Gagner	0.027732257657884788	Winnipeg Jets
259 Nico Sturm	0.027526379446970013	San Jose Sharks
260 Pierre Engvall	0.027262588293609814	Toronto Maple Leafs
261 Cody Glass	0.02725149234362834	Nashville Predators
262 Luke Kunin	0.02717485977075567	San Jose Sharks
263 Evan Rodrigues	0.02713034899494389	Colorado Avalanche
264 Teddy Blueger	0.027002700270027005	Pittsburgh Penguins
265 Milan Lucic	0.026956869009584664	Calgary Flames
266 Kirill Marchenko	0.026942074539739562	Columbus Blue Jackets
267 Noel Acciari	0.026866674129631705	St. Louis Blues
268 Gustav Nyquist	0.026792093355560848	Columbus Blue Jackets
269 Ondrej Palat	0.026718123793973578	New Jersey Devils
270 Kyle Palmieri	0.026670617869313972	New York Islanders
271 Tanner Pearson	0.02646669607410675	Vancouver Canucks
272 Frederick Gaudreau	0.02638936885426157	Minnesota Wild
273 Carl Grundstrom	0.026299640571578853	Los Angeles Kings
274 Dakota Joshua	0.026285526531953343	Vancouver Canucks
275 J.T. Compher	0.026209457245822868	Colorado Avalanche
276 Nicolas Roy	0.02614028620262073	Vegas Golden Knights
277 Taylor Raddysh	0.026058196639160792	Chicago Blackhawks
278 Alex Newhook	0.026042608601294894	Colorado Avalanche
279 Morgan Frost	0.025914482208711256	Philadelphia Flyers
280 Mason Appleton	0.02586392700625045	Winnipeg Jets
281 Ryan McLeod	0.025799516259070145	Edmonton Oilers
282 Juuso Parssinen	0.025760549558390577	Nashville Predators
283 Jimmy Vesey	0.025735425528112376	New York Rangers
284 Hudson Fasching	0.02563554795983764	New York Islanders
285 Jordan Staal	0.025559105431309903	Carolina Hurricanes
286 Matt Martin	0.02545008954661137	New York Islanders
287 David Kampf	0.02541213266436437	Toronto Maple Leafs
288 Brendan Gallagher	0.025340513145391194	Montréal Canadiens
289 Erik Haula	0.02529206310971938	New Jersey Devils
290 Christian Dvorak	0.025173064820641914	Montréal Canadiens
291 Mathieu Joseph	0.02511043943269007	Ottawa Senators
292 Trevor Lewis	0.025026543303503714	Calgary Flames
293 Pius Suter	0.025019807347483426	Detroit Red Wings
294 Christian Fischer	0.024996528259963895	Arizona Coyotes
295 Matt Nieto	0.024977450912370778	San Jose Sharks
296 Ryan O'Reilly	0.02496601847485367	St. Louis Blues
297 Lars Eller	0.024916147580258743	Washington Capitals
298 Elmer Soderblom	0.024879747885221428	Detroit Red Wings
299 Andrew Mangiapane	0.02474809969948736	Calgary Flames
300 Marcus Foligno	0.02459117176933481	Minnesota Wild
301 Jansen Harkins	0.02437637117087836	Winnipeg Jets
302 Philipp Kurashev	0.02433925172403033	Chicago Blackhawks
303 Alex Wennberg	0.0242724992583403	Seattle Kraken
304 Eric Robinson	0.024233612019871564	Columbus Blue Jackets
305 Joe Veleno	0.024067388688327317	Detroit Red Wings
306 Rasmus Kupari	0.024057738572574178	Los Angeles Kings
307 Jason Dickinson	0.02402210033230572	Chicago Blackhawks
308 Blake Coleman	0.02402001668056714	Calgary Flames
309 Eeli Tolvanen	0.024007202160648194	Seattle Kraken
310 Travis Boyd	0.023983764836110942	Arizona Coyotes
311 Sean Kuraly	0.023936806829968883	Columbus Blue Jackets
312 Jaret Anderson-Dolan	0.023910098031401927	Los Angeles Kings
313 Ryan Poehling	0.023715415019762848	Pittsburgh Penguins
314 Derick Brassard	0.02370019256406458	Ottawa Senators
315 Jesper Fast	0.023482530420550773	Carolina Hurricanes
316 Paul Cotter	0.023461939520333683	Vegas Golden Knights
317 Nick Bjugstad	0.023429110670007487	Arizona Coyotes
318 Jonny Brodzinski	0.023319082782743878	New York Rangers
319 Tyson Jost	0.02326934264107039	Buffalo Sabres
320 Frank Vatrano	0.02325838963340348	Anaheim Ducks
321 Evgeny Svechnikov	0.02325452632744588	San Jose Sharks
322 Scott Laughton	0.02303943287549845	Philadelphia Flyers
323 Ross Johnston	0.02290950744558992	New York Islanders
324 Derek Ryan	0.022717591935254865	Edmonton Oilers
325 Josh Anderson	0.022569503812878297	Montréal Canadiens
326 Peyton Krebs	0.022558814050918464	Buffalo Sabres
327 Ryan Lomberg	0.022433051362340514	Florida Panthers
328 Josh Norris	0.02180232558139535	Ottawa Senators
329 Craig Smith	0.021515015688032272	Boston Bruins
330 Warren Foegele	0.021479713603818618	Edmonton Oilers
331 Jonathan Drouin	0.021297742439301433	Montréal Canadiens
332 Eric Staal	0.021198604425208673	Florida Panthers
333 Brendan Lemieux	0.021159045491947807	Los Angeles Kings
334 Saku Maenalanen	0.020859891065013327	Winnipeg Jets
335 Brandon Saad	0.0206999655000575	St. Louis Blues
336 Tanner Laczynski	0.0206097037355088	Philadelphia Flyers
337 Karson Kuhlman	0.020429009193054137	Winnipeg Jets
338 Boris Katchouk	0.020322908434006998	Chicago Blackhawks
339 Tyler Motte	0.020320614134116056	Ottawa Senators
340 Wade Allison	0.0203028508586414	Philadelphia Flyers
341 Vladislav Namestnikov	0.020066889632107024	Tampa Bay Lightning
342 Josh Archibald	0.019527012367107834	Pittsburgh Penguins
343 Sam Lafferty	0.019516728624535316	Chicago Blackhawks
344 Mattias Janmark	0.01940805434255216	Edmonton Oilers
345 Zack MacEwen	0.019402562755163912	Philadelphia Flyers
346 Vitali Kravtsov	0.019365250134480906	New York Rangers
347 Kailer Yamamoto	0.019189473203271346	Edmonton Oilers
348 Jack Studnicka	0.01916116670215031	Vancouver Canucks
349 Logan O'Connor	0.018934081346423562	Colorado Avalanche
350 Yakov Trenin	0.018792787149313168	Nashville Predators
351 Wayne Simmonds	0.0187207488299532	Toronto Maple Leafs
352 Andreas Athanasiou	0.018526778056060657	Chicago Blackhawks
353 Jesperi Kotkaniemi	0.018482390389157	Carolina Hurricanes
354 Michael Amadio	0.0184572790894409	Vegas Golden Knights
355 Aliaksei Protas	0.018393623543838136	Washington Capitals
356 Paul Stastny	0.018129235550567616	Carolina Hurricanes
357 Zemgus Girgensons	0.018117504960745406	Buffalo Sabres
358 Oskar Lindblom	0.018051446622875195	San Jose Sharks
359 Jesse Puljujarvi	0.017965416573096787	Edmonton Oilers
360 Noah Cates	0.01792893621645116	Philadelphia Flyers
361 Evgenii Dadonov	0.017819261773440814	Montréal Canadiens
362 Isac Lundestrom	0.01780591552082303	Anaheim Ducks
363 Joey Anderson	0.0176678445229682	Toronto Maple Leafs
364 Nick Bonino	0.017462730006791063	San Jose Sharks
365 Logan Brown	0.01738122827346466	St. Louis Blues
366 Liam Foudy	0.01732435033686237	Columbus Blue Jackets
367 Tomas Nosek	0.017249168343669144	Boston Bruins
368 Matt Luff	0.016944365998305563	Detroit Red Wings
369 Sammy Blais	0.0168321831341525	New York Rangers
370 Colton Sissons	0.016810842993730958	Nashville Predators
