Forward	Total Rating	Team
109 Nicholas Paul	0.44272728219307916	Tampa Bay Lightning
110 Viktor Arvidsson	0.4349864197605403	Los Angeles Kings
111 Aleksander Barkov	0.43265226180302857	Florida Panthers
112 Cole Perfetti	0.43188282760882396	Winnipeg Jets
113 Kirby Dach	0.4300856486875075	Montréal Canadiens
114 Sam Reinhart	0.4288220645954439	Florida Panthers
115 Mason Marchment	0.42662912027135325	Dallas Stars
116 Sam Bennett	0.4266246928269378	Florida Panthers
117 Adam Lowry	0.4255458231416241	Winnipeg Jets
118 Adrian Kempe	0.42348427858596677	Los Angeles Kings
119 Trevor Zegras	0.42238151219375997	Anaheim Ducks
120 Yanni Gourde	0.4186857684756633	Seattle Kraken
121 Gabriel Vilardi	0.41808997588572777	Los Angeles Kings
122 Boone Jenner	0.41555910082808817	Columbus Blue Jackets
123 Pavel Zacha	0.41429492707477134	Boston Bruins
124 Dillon Dube	0.4133225653175905	Calgary Flames
125 Dylan Strome	0.41048975086317047	Washington Capitals
126 Phillip Danault	0.41020128882554835	Los Angeles Kings
127 Max Domi	0.40541812092107965	Chicago Blackhawks
128 Bryan Rust	0.4025092117215371	Pittsburgh Penguins
129 Daniel Sprong	0.4003467364492926	Seattle Kraken
130 Valeri Nichushkin	0.3976709180940515	Colorado Avalanche
131 Alexander Barabanov	0.3975003961638936	San Jose Sharks
132 Tomas Tatar	0.39684388504334417	New Jersey Devils
133 Patrick Kane	0.3956676395159835	Chicago Blackhawks
134 Dawson Mercer	0.3951622034252841	New Jersey Devils
135 Filip Chytil	0.39454094604689227	New York Rangers
136 Adam Ruzicka	0.3925651003468418	Calgary Flames
137 Ilya Mikheyev	0.39146178158731465	Vancouver Canucks
138 Jack Quinn	0.3909854025475514	Buffalo Sabres
139 Anthony Mantha	0.3876042423175894	Washington Capitals
140 Nick Foligno	0.3869382384558656	Boston Bruins
141 Mikael Granlund	0.38690649162506724	Nashville Predators
142 Eetu Luostarinen	0.38487003929986663	Florida Panthers
143 Kevin Labanc	0.38422813876810524	San Jose Sharks
144 Seth Jarvis	0.38420761447414986	Carolina Hurricanes
145 Charlie Coyle	0.37980703416456707	Boston Bruins
146 Brandon Tanev	0.3793848536031823	Seattle Kraken
147 Mikael Backlund	0.37716275969588287	Calgary Flames
148 Patrik Laine	0.375813255601019	Columbus Blue Jackets
149 Mason McTavish	0.37578156216696323	Anaheim Ducks
150 Andrew Copp	0.37395386853676954	Detroit Red Wings
151 Conor Sheary	0.3736977002364321	Washington Capitals
152 Barclay Goodrow	0.3729631559769303	New York Rangers
153 Ivan Barbashev	0.37258549415449815	St. Louis Blues
154 Oliver Wahlstrom	0.37216279840225525	New York Islanders
155 Victor Olofsson	0.3708729313827826	Buffalo Sabres
156 Morgan Geekie	0.3703777071594292	Seattle Kraken
157 Alexis Lafrenière	0.3692509342228433	New York Rangers
158 Arthur Kaliyev	0.36915341192825	Los Angeles Kings
159 J.T. Compher	0.3683414909773077	Colorado Avalanche
160 Oliver Bjorkstrand	0.3679832083802873	Seattle Kraken
161 Lawson Crouse	0.36786233199038937	Arizona Coyotes
162 Joel Farabee	0.3657639385355334	Philadelphia Flyers
163 Lucas Raymond	0.36516944140042634	Detroit Red Wings
164 Adam Henrique	0.36448840938468596	Anaheim Ducks
165 Kent Johnson	0.3630637993973598	Columbus Blue Jackets
166 Trent Frederic	0.3623964109048833	Boston Bruins
167 Trevor Moore	0.36212252912628223	Los Angeles Kings
168 Ryan Johansen	0.3620713727097872	Nashville Predators
169 Brock Boeser	0.3618451251814157	Vancouver Canucks
170 James van Riemsdyk	0.360274286059444	Philadelphia Flyers
171 Sean Monahan	0.3578668696334006	Montréal Canadiens
172 Stefan Noesen	0.3573284572203061	Carolina Hurricanes
173 Jordan Martinook	0.35609438025320717	Carolina Hurricanes
174 Nino Niederreiter	0.35501838684977066	Nashville Predators
175 Evander Kane	0.354905609067272	Edmonton Oilers
176 Jean-Gabriel Pageau	0.35434911053531754	New York Islanders
177 Jonathan Toews	0.3532741374912531	Chicago Blackhawks
178 Jaden Schwartz	0.3531451186765394	Seattle Kraken
179 Nick Schmaltz	0.35294459185858956	Arizona Coyotes
180 Jack Roslovic	0.35225137966034487	Columbus Blue Jackets
181 Zach Parise	0.3520963954509174	New York Islanders
182 JJ Peterka	0.35098786636697704	Buffalo Sabres
183 Nikolaj Ehlers	0.35060144702056484	Winnipeg Jets
184 Yegor Sharangovich	0.34835449821960196	New Jersey Devils
185 Casey Mittelstadt	0.3475844180227254	Buffalo Sabres
186 Sonny Milano	0.3472088176475481	Washington Capitals
187 Alexander Kerfoot	0.3466372214383833	Toronto Maple Leafs
188 Michael McLeod	0.3433864380071978	New Jersey Devils
189 Alex Wennberg	0.3430838529066485	Seattle Kraken
190 Ross Colton	0.3418071835027582	Tampa Bay Lightning
191 Erik Haula	0.3411943673763729	New Jersey Devils
192 Michael Rasmussen	0.3400612737218815	Detroit Red Wings
193 Brock McGinn	0.33982488098171926	Pittsburgh Penguins
194 Miles Wood	0.33737961616629547	New Jersey Devils
195 Fabian Zetterlund	0.3372904775050967	New Jersey Devils
196 Thomas Novak	0.3357044202084148	Nashville Predators
197 Ryan Strome	0.3354993543377096	Anaheim Ducks
198 Owen Tippett	0.33402835012493237	Philadelphia Flyers
199 Marcus Johansson	0.3330415394065587	Washington Capitals
200 Jordan Staal	0.33245703255894465	Carolina Hurricanes
201 Shane Pinto	0.33058229204365674	Ottawa Senators
202 Anthony Cirelli	0.3286719158087166	Tampa Bay Lightning
203 Kaapo Kakko	0.3286089768174499	New York Rangers
204 Gustav Nyquist	0.3273975794067963	Columbus Blue Jackets
205 Frederick Gaudreau	0.32543871252965717	Minnesota Wild
206 Tyler Johnson	0.3233475366303905	Chicago Blackhawks
207 Chris Tierney	0.3229945521294389	Florida Panthers
208 Kasperi Kapanen	0.32278592366667197	Pittsburgh Penguins
209 Sam Steel	0.32238075325487453	Minnesota Wild
210 Anton Lundell	0.3217578773883937	Florida Panthers
211 Alex Iafallo	0.3203127573646982	Los Angeles Kings
212 Wyatt Johnston	0.3203085862649976	Dallas Stars
213 Kyle Okposo	0.319794115270609	Buffalo Sabres
214 Jeff Carter	0.31765944014563835	Pittsburgh Penguins
215 Blake Lizotte	0.3164778942905314	Los Angeles Kings
216 Ty Dellandrea	0.3163045763133643	Dallas Stars
217 Christian Dvorak	0.31612421765835946	Montréal Canadiens
218 William Carrier	0.3142951478731837	Vegas Golden Knights
219 Ryan O'Reilly	0.3135288799565315	St. Louis Blues
220 Nick Bjugstad	0.31341703554296524	Arizona Coyotes
221 Conor Garland	0.31058673767108885	Vancouver Canucks
222 David Kampf	0.3104708890729128	Toronto Maple Leafs
223 Adam Erne	0.3100303813766095	Detroit Red Wings
224 Yegor Chinakhov	0.3064737075588277	Columbus Blue Jackets
225 Corey Perry	0.3063585998062973	Tampa Bay Lightning
226 Lane Pederson	0.30607281042988055	Vancouver Canucks
227 Nicolas Roy	0.3047140352477838	Vegas Golden Knights
228 Josh Bailey	0.3040500464075996	New York Islanders
229 Oskar Sundqvist	0.30371111996467315	Detroit Red Wings
230 Christian Fischer	0.3034108717752574	Arizona Coyotes
231 Anthony Beauvillier	0.3030652396527077	New York Islanders
232 Lars Eller	0.3029104549798858	Washington Capitals
233 Andrew Mangiapane	0.2999430427943872	Calgary Flames
234 Frank Vatrano	0.2999398972775905	Anaheim Ducks
235 Morgan Frost	0.2998358521538082	Philadelphia Flyers
236 Nic Dowd	0.2994748990650024	Washington Capitals
237 Jimmy Vesey	0.2987486076899573	New York Rangers
238 Noel Acciari	0.29837390953147125	St. Louis Blues
239 Philipp Kurashev	0.2974548983970199	Chicago Blackhawks
240 Alex Newhook	0.2971853151827578	Colorado Avalanche
241 Noah Cates	0.2970919258393735	Philadelphia Flyers
242 Travis Boyd	0.2941004756492006	Arizona Coyotes
243 Taylor Raddysh	0.2916301121720023	Chicago Blackhawks
244 Nick Ritchie	0.29149677268689267	Arizona Coyotes
245 Anthony Richard	0.2874647191071371	Montréal Canadiens
246 Jesper Fast	0.2863763661597608	Carolina Hurricanes
247 Blake Coleman	0.28364742151032357	Calgary Flames
248 Evan Rodrigues	0.281470865451082	Colorado Avalanche
249 Colin White	0.2810949487757401	Florida Panthers
250 Mason Shaw	0.2796101252730212	Minnesota Wild
251 Pierre Engvall	0.2791321368260308	Toronto Maple Leafs
252 Ryan Donato	0.2789971866375397	Seattle Kraken
253 Scott Laughton	0.27653026620493004	Philadelphia Flyers
254 Nick Cousins	0.27456910257109757	Florida Panthers
255 Phil Kessel	0.2731734048270439	Vegas Golden Knights
256 Logan O'Connor	0.2729780525536145	Colorado Avalanche
257 Vinnie Hinostroza	0.2717551968573151	Buffalo Sabres
258 Luke Kunin	0.2707201789409162	San Jose Sharks
259 Sam Gagner	0.26925222131786786	Winnipeg Jets
260 Teuvo Teravainen	0.268353742598577	Carolina Hurricanes
261 Zac Dalpe	0.26800615388884086	Florida Panthers
262 Josh Anderson	0.2660952208397591	Montréal Canadiens
263 Pius Suter	0.2625667019202525	Detroit Red Wings
