Forward	Points Corrected	Team
108 David Perron	0.7686085227190388	Detroit Red Wings
109 Alex Killorn	0.7682596757594365	Tampa Bay Lightning
110 Adam Lowry	0.7680227898175875	Winnipeg Jets
111 Dylan Guenther	0.7612348951364398	Arizona Coyotes
112 Vinnie Hinostroza	0.7610642346609325	Buffalo Sabres
113 Sonny Milano	0.7599743451845465	Washington Capitals
114 Brandon Hagel	0.7590856320213405	Tampa Bay Lightning
115 Mark Scheifele	0.7588081634447624	Winnipeg Jets
116 Anze Kopitar	0.7572034048244815	Los Angeles Kings
117 Joel Eriksson Ek	0.7556189065746531	Minnesota Wild
118 Nazem Kadri	0.7554522640783533	Calgary Flames
119 Tyler Seguin	0.7536887966277984	Dallas Stars
120 Patrice Bergeron	0.743512489087062	Boston Bruins
121 Alexander Barabanov	0.7421941007503001	San Jose Sharks
122 Patrik Laine	0.7415286594930308	Columbus Blue Jackets
123 Kent Johnson	0.7399296360177331	Columbus Blue Jackets
124 Tyler Toffoli	0.7398328117016663	Calgary Flames
125 Victor Olofsson	0.738789643917999	Buffalo Sabres
126 Pavel Zacha	0.738311146796557	Boston Bruins
127 Cole Perfetti	0.7376978018683507	Winnipeg Jets
128 Elias Lindholm	0.7352539359217732	Calgary Flames
129 Anders Lee	0.7350180902829153	New York Islanders
130 Reilly Smith	0.7311255515364374	Vegas Golden Knights
131 Brayden Schenn	0.7246943746011646	St. Louis Blues
132 Trevor Zegras	0.7245715080850337	Anaheim Ducks
133 Sheldon Dries	0.720544271273913	Vancouver Canucks
134 Mark Stone	0.7163001838544084	Vegas Golden Knights
135 Chris Kreider	0.7136673173791852	New York Rangers
136 Evgeny Kuznetsov	0.7132279848255153	Washington Capitals
137 Nick Foligno	0.7117544462446433	Boston Bruins
138 Matt Boldy	0.7112573753809412	Minnesota Wild
139 Fabian Zetterlund	0.7064620058840252	New Jersey Devils
140 Nicholas Paul	0.7048386071270188	Tampa Bay Lightning
141 Kirby Dach	0.7045808941804911	Montréal Canadiens
142 Artturi Lehkonen	0.7032182671076868	Colorado Avalanche
143 Sam Bennett	0.7031367468671705	Florida Panthers
144 Aleksander Barkov	0.6984410945351557	Florida Panthers
145 Ross Colton	0.6973433764176529	Tampa Bay Lightning
146 Trent Frederic	0.6969114586496032	Boston Bruins
147 Sean Monahan	0.6928468737615232	Montréal Canadiens
148 William Karlsson	0.6920366776620454	Vegas Golden Knights
149 Jonathan Huberdeau	0.6866273438693097	Calgary Flames
150 Dawson Mercer	0.686595431129958	New Jersey Devils
151 Oliver Wahlstrom	0.6858114573048402	New York Islanders
152 Mason Marchment	0.6844585049229314	Dallas Stars
153 Max Domi	0.6816492234248032	Chicago Blackhawks
154 Anthony Mantha	0.6794927783576947	Washington Capitals
155 Yanni Gourde	0.6718823559049737	Seattle Kraken
156 William Bitten	0.6571583209243523	St. Louis Blues
157 Justin Danforth	0.6506076085585971	Columbus Blue Jackets
158 Patrick Kane	0.6491954755373577	Chicago Blackhawks
159 Rickard Rakell	0.643974643064947	Pittsburgh Penguins
160 Gabriel Vilardi	0.6401001423492129	Los Angeles Kings
161 Nick Ritchie	0.6356441401618147	Arizona Coyotes
162 Stefan Noesen	0.6284386439069057	Carolina Hurricanes
163 Conor Sheary	0.6274926594279203	Washington Capitals
164 Kevin Labanc	0.6273368946436506	San Jose Sharks
165 Bryan Rust	0.6245040882120594	Pittsburgh Penguins
166 Mason McTavish	0.6196572221112606	Anaheim Ducks
167 Corey Perry	0.6183893132155674	Tampa Bay Lightning
168 Ilya Mikheyev	0.6168506662480311	Vancouver Canucks
169 Boone Jenner	0.6165163899591318	Columbus Blue Jackets
170 Miles Wood	0.6136550164969847	New Jersey Devils
171 Jeff Carter	0.6084466188926508	Pittsburgh Penguins
172 Casey Mittelstadt	0.6050905204478262	Buffalo Sabres
173 Colin White	0.6049242967192237	Florida Panthers
174 JJ Peterka	0.6036400915659306	Buffalo Sabres
175 Ryan Johansen	0.6032309444692353	Nashville Predators
176 Tomas Tatar	0.6018724482477887	New Jersey Devils
177 Mason Shaw	0.5990707406095357	Minnesota Wild
178 Ryan Hartman	0.597858311581659	Minnesota Wild
179 Vincent Trocheck	0.5930199477928675	New York Rangers
180 Mikael Granlund	0.5906715752221686	Nashville Predators
181 Lawson Crouse	0.5878774950307346	Arizona Coyotes
182 A.J. Greer	0.5779299586385854	Boston Bruins
183 Josh Leivo	0.5753233326653442	St. Louis Blues
184 Yegor Sharangovich	0.5715240314480016	New Jersey Devils
185 Jakub Voracek	0.5710690464802004	Columbus Blue Jackets
186 Mikael Backlund	0.568435856952607	Calgary Flames
187 Yegor Chinakhov	0.5676773867448646	Columbus Blue Jackets
188 Juraj Slafkovsky	0.5671905924452172	Montréal Canadiens
189 Morgan Barron	0.5656196573943232	Winnipeg Jets
190 Andrew Copp	0.5651682356694524	Detroit Red Wings
191 Michael McLeod	0.5640363295994658	New Jersey Devils
192 Rasmus Asplund	0.5544442636080411	Buffalo Sabres
193 Nick Schmaltz	0.551097832042377	Arizona Coyotes
194 Jack Roslovic	0.549775507526317	Columbus Blue Jackets
195 Jonathan Toews	0.5492848227057716	Chicago Blackhawks
196 Phillip Danault	0.5459352139234221	Los Angeles Kings
197 Joey Anderson	0.5393838015480587	Toronto Maple Leafs
198 Sam Reinhart	0.5336702723894109	Florida Panthers
199 Brock McGinn	0.5323538917855999	Pittsburgh Penguins
200 Nick Cousins	0.5297030323146674	Florida Panthers
201 Adrian Kempe	0.5281858341577568	Los Angeles Kings
202 Jordan Martinook	0.515622393085787	Carolina Hurricanes
203 Anton Lundell	0.5128027028388551	Florida Panthers
204 Connor Dewar	0.5119506393486781	Minnesota Wild
205 Kyle Okposo	0.5116726424866667	Buffalo Sabres
206 Blake Lizotte	0.5112913640269976	Los Angeles Kings
207 Eetu Luostarinen	0.5078315298219904	Florida Panthers
208 William Carrier	0.5015208373974108	Vegas Golden Knights
209 Oliver Bjorkstrand	0.4990921550415064	Seattle Kraken
210 Ty Dellandrea	0.49850016431602057	Dallas Stars
211 Brett Ritchie	0.49595494850008204	Calgary Flames
212 Conor Garland	0.4955077053839506	Vancouver Canucks
213 Lucas Raymond	0.4954640183639535	Detroit Red Wings
214 J.T. Compher	0.4915883922568442	Colorado Avalanche
215 Danton Heinen	0.49157232138784596	Pittsburgh Penguins
216 Mike Hoffman	0.49140093881462277	Montréal Canadiens
217 Nils Hoglander	0.48888627359436415	Vancouver Canucks
218 Owen Tippett	0.4840876926876589	Philadelphia Flyers
219 Dillon Dube	0.4806260335397266	Calgary Flames
220 Shane Pinto	0.4796746704914231	Ottawa Senators
221 Trevor Moore	0.4795394261710929	Los Angeles Kings
222 Charlie Coyle	0.4776234813216478	Boston Bruins
223 Nicholas Robertson	0.4774305825668279	Toronto Maple Leafs
224 T.J. Oshie	0.47728785089567666	Washington Capitals
225 Oskar Sundqvist	0.47388592332315227	Detroit Red Wings
226 Michael Eyssimont	0.4703895163847615	Winnipeg Jets
227 Brandon Duhaime	0.46481649715624984	Minnesota Wild
228 Seth Jarvis	0.46420383433795714	Carolina Hurricanes
229 Brandon Tanev	0.4602769046513977	Seattle Kraken
230 Noel Acciari	0.4577666453464033	St. Louis Blues
