Forward	Utilization Rating	Team
108 Vladimir Tarasenko	0.7843523048135583	St. Louis Blues
109 Nazem Kadri	0.7812166577116598	Calgary Flames
110 Nicholas Paul	0.7784713756839339	Tampa Bay Lightning
111 Roope Hintz	0.7774645735826062	Dallas Stars
112 Jonathan Marchessault	0.776436829109118	Vegas Golden Knights
113 Travis Boyd	0.7762662056508455	Arizona Coyotes
114 John Tavares	0.7755544047080102	Toronto Maple Leafs
115 Jake Guentzel	0.7752314246062292	Pittsburgh Penguins
116 Carter Verhaeghe	0.7710986596805111	Florida Panthers
117 Anders Lee	0.76820486734242	New York Islanders
118 Andrew Mangiapane	0.7654477351171415	Calgary Flames
119 Erik Haula	0.7642426665943733	New Jersey Devils
120 Patrice Bergeron	0.7640064748424624	Boston Bruins
121 Dylan Cozens	0.7591306021962364	Buffalo Sabres
122 Jordan Eberle	0.7544613142680978	Seattle Kraken
123 Tyler Toffoli	0.7517676349518992	Calgary Flames
124 Christian Dvorak	0.7510628870833214	Montréal Canadiens
125 Conor Sheary	0.7500225663434511	Washington Capitals
126 Zach Parise	0.7484544222814182	New York Islanders
127 Jack Eichel	0.7482977346290121	Vegas Golden Knights
128 Ivan Barbashev	0.7474377418926432	St. Louis Blues
129 Mason Marchment	0.747153352799555	Dallas Stars
130 Seth Jarvis	0.7466987672666695	Carolina Hurricanes
131 Jordan Staal	0.7436860035700141	Carolina Hurricanes
132 Taylor Hall	0.7420983819751508	Boston Bruins
133 Dylan Strome	0.7409304888396019	Washington Capitals
134 Scott Laughton	0.7405648774264015	Philadelphia Flyers
135 Lawson Crouse	0.7405628539287039	Arizona Coyotes
136 Travis Konecny	0.7395982482922145	Philadelphia Flyers
137 David Perron	0.7394923484367416	Detroit Red Wings
138 Aleksander Barkov	0.7382843124933451	Florida Panthers
139 Frederick Gaudreau	0.7367221218812561	Minnesota Wild
140 Yanni Gourde	0.7357835148306491	Seattle Kraken
141 Andreas Athanasiou	0.7348108402952558	Chicago Blackhawks
142 Michael Bunting	0.7290454096285972	Toronto Maple Leafs
143 Kaapo Kakko	0.7258567098858767	New York Rangers
144 Taylor Raddysh	0.7251069248239477	Chicago Blackhawks
145 Dawson Mercer	0.7243034005812174	New Jersey Devils
146 Nino Niederreiter	0.72373701908698	Nashville Predators
147 Marcus Johansson	0.7216246292196407	Washington Capitals
148 Kevin Labanc	0.7214715402410733	San Jose Sharks
