Forward	Penalty Kill Utilization Corrected	Team
109 Teuvo Teravainen	0.8302730650405726	Carolina Hurricanes
110 Mark Stone	0.8248363592663974	Vegas Golden Knights
111 Aleksander Barkov	0.8184379979938413	Florida Panthers
112 Luke Kunin	0.8154303457556747	San Jose Sharks
113 Michael McLeod	0.8144007540729505	New Jersey Devils
114 Colin Blackwell	0.8097907738394936	Chicago Blackhawks
115 Blake Lizotte	0.8013425636201439	Los Angeles Kings
116 Blake Coleman	0.7966127030775514	Calgary Flames
117 Brandon Saad	0.7917267543323852	St. Louis Blues
118 Sam Reinhart	0.7897143237467092	Florida Panthers
119 Mathieu Joseph	0.7889368529058833	Ottawa Senators
120 Joel Armia	0.7814153234558017	Montréal Canadiens
121 Alex Tuch	0.7813651503508839	Buffalo Sabres
122 Jonathan Toews	0.777143069278986	Chicago Blackhawks
123 Dillon Dube	0.7748754837705435	Calgary Flames
124 Morgan Geekie	0.772271690423327	Seattle Kraken
125 Pavel Zacha	0.7673469668671506	Boston Bruins
126 Kyle Okposo	0.7641566736416153	Buffalo Sabres
127 Jeff Carter	0.7569835719428064	Pittsburgh Penguins
128 Bryan Rust	0.7569835719428064	Pittsburgh Penguins
129 Mattias Janmark	0.7568689367230703	Edmonton Oilers
130 Barrett Hayton	0.7547944731631674	Arizona Coyotes
131 Trevor Moore	0.746463480954876	Los Angeles Kings
132 Evgeny Kuznetsov	0.7449418929928069	Washington Capitals
133 Robert Thomas	0.7440363960483429	St. Louis Blues
134 Jujhar Khaira	0.743402398657525	Chicago Blackhawks
135 Dawson Mercer	0.7427286633297627	New Jersey Devils
136 Sam Bennett	0.7403899747610045	Florida Panthers
137 Connor McDavid	0.7287558908117658	Edmonton Oilers
138 Ryan McLeod	0.7241571752968881	Edmonton Oilers
139 Isac Lundestrom	0.7193395395369806	Anaheim Ducks
140 Derek Ryan	0.7186605379477253	Edmonton Oilers
141 Brad Marchand	0.7164077024416404	Boston Bruins
142 Josh Bailey	0.7129770247080146	New York Islanders
