Forward	Plus_Minus Corrected	Team
108 Stefan Noesen	0.7643845435246074	Carolina Hurricanes
109 Cody Glass	0.7571222217345053	Nashville Predators
110 Ilya Mikheyev	0.7565573303783498	Vancouver Canucks
111 William Karlsson	0.7542888665576647	Vegas Golden Knights
112 Elias Lindholm	0.753719528903593	Calgary Flames
113 Marcus Johansson	0.7531493037657611	Washington Capitals
114 Kaapo Kakko	0.7525781917600083	New York Rangers
115 Jimmy Vesey	0.7468184368335393	New York Rangers
116 Jason Zucker	0.7397907277450869	Pittsburgh Penguins
117 William Carrier	0.7391994116709454	Vegas Golden Knights
118 Mark Scheifele	0.738014173538247	Winnipeg Jets
119 Anze Kopitar	0.7374202532485723	Los Angeles Kings
120 Radek Faksa	0.7344376759159645	Dallas Stars
121 J.T. Compher	0.730830161131929	Colorado Avalanche
122 Evander Kane	0.7259722652684449	Edmonton Oilers
123 Blake Coleman	0.72106015850928	Calgary Flames
124 Matt Duchene	0.72106015850928	Nashville Predators
125 Pierre Engvall	0.7185839596105543	Toronto Maple Leafs
126 Dylan Cozens	0.7160944339680524	Buffalo Sabres
127 Klim Kostin	0.705367217013634	Edmonton Oilers
128 Joel Farabee	0.7040897742478527	Philadelphia Flyers
129 Evgeni Malkin	0.7028091264351345	Pittsburgh Penguins
130 Pavel Buchnevich	0.7028091264351345	St. Louis Blues
131 Robert Thomas	0.6983017963353051	St. Louis Blues
132 Lars Eller	0.6970068787318305	Washington Capitals
133 Reilly Smith	0.6963582431121987	Vegas Golden Knights
134 Josh Archibald	0.693755893514729	Pittsburgh Penguins
135 Alexis Lafrenière	0.6931033626632934	New York Rangers
136 Mats Zuccarello	0.6898291325276013	Minnesota Wild
137 Yakov Trenin	0.6885140707018136	Nashville Predators
138 Garnet Hathaway	0.6871959615419847	Washington Capitals
139 Jonathan Huberdeau	0.685213115424757	Calgary Flames
140 Adrian Kempe	0.6845506586797787	Los Angeles Kings
141 David Perron	0.6798925390506805	Detroit Red Wings
142 Casey Cizikas	0.67654314047075	New York Islanders
143 Wyatt Johnston	0.6745247497176257	Dallas Stars
144 Andrew Cogliano	0.6684308098877132	Colorado Avalanche
145 Mason Appleton	0.6670688097560742	Winnipeg Jets
146 Keegan Kolesar	0.6636516114937012	Vegas Golden Knights
147 Michael McLeod	0.6622798984414671	New Jersey Devils
148 Andrew Copp	0.6615930148740391	Detroit Red Wings
149 Mattias Janmark	0.6609054495655816	Edmonton Oilers
150 Nathan Bastian	0.6602172047445253	New Jersey Devils
151 Juuso Parssinen	0.6574574752810571	Nashville Predators
152 Robby Fabbri	0.6505117019684045	Detroit Red Wings
153 Oliver Wahlstrom	0.6498135391778159	New York Islanders
154 Tanner Jeannot	0.6491147339868701	Nashville Predators
155 Mark Jankowski	0.6484152888050821	Nashville Predators
156 Logan O'Connor	0.6427969802595617	Colorado Avalanche
157 Josh Norris	0.6427969802595617	Ottawa Senators
158 Tyler Motte	0.6364291871770236	Ottawa Senators
159 Eeli Tolvanen	0.6300132160094164	Seattle Kraken
160 Calle Jarnkrok	0.6285810944841169	Toronto Maple Leafs
161 Vitali Kravtsov	0.6249909389217759	New York Rangers
162 Hudson Fasching	0.6242712407594871	New York Islanders
163 Marcus Foligno	0.6228301993962146	Minnesota Wild
164 Tomas Nosek	0.6206645664128042	Boston Bruins
165 Evgeny Kuznetsov	0.6192181297492835	Washington Capitals
166 Adam Henrique	0.6148661979803722	Anaheim Ducks
167 Mathieu Joseph	0.6126832737876247	Ottawa Senators
168 Andrei Svechnikov	0.6090350282160051	Carolina Hurricanes
