Rating Date,Team,Division,Special Teams
17/10/2022 (v6.0),Anaheim Ducks,PAC,0.06537195036688842
17/10/2022 (v6.0),Arizona Coyotes,CEN,0.720272484351232
17/10/2022 (v6.0),Boston Bruins,ATL,0.7888541552850854
17/10/2022 (v6.0),Buffalo Sabres,ATL,0.07363791205686505
17/10/2022 (v6.0),Calgary Flames,CEN,0.6812895204211749
17/10/2022 (v6.0),Carolina Hurricanes,MET,0.7604570056716913
17/10/2022 (v6.0),Chicago Blackhawks,CEN,0.3202910984508667
17/10/2022 (v6.0),Colorado Avalanche,CEN,0.4487461403471579
17/10/2022 (v6.0),Columbus Blue Jackets,MET,0.028403091290892062
17/10/2022 (v6.0),Dallas Stars,CEN,0.9211410404616351
17/10/2022 (v6.0),Detroit Red Wings,ATL,0.7011455718971553
17/10/2022 (v6.0),Edmonton Oilers,PAC,0.9750997787763934
17/10/2022 (v6.0),Florida Panthers,ATL,0.5444107746187916
17/10/2022 (v6.0),Los Angeles Kings,PAC,0.16939423700120068
17/10/2022 (v6.0),Minnesota Wild,CEN,0.768829554195812
17/10/2022 (v6.0),Montréal Canadiens,ATL,0.4315502153146215
17/10/2022 (v6.0),Nashville Predators,CEN,0.12198376976290584
17/10/2022 (v6.0),New Jersey Devils,MET,0.5183482475401198
17/10/2022 (v6.0),New York Islanders,MET,0.811167529182143
17/10/2022 (v6.0),New York Rangers,MET,0.7646690543894524
17/10/2022 (v6.0),Ottawa Senators,ATL,0.4487461403471579
17/10/2022 (v6.0),Philadelphia Flyers,MET,0.7769952805349698
17/10/2022 (v6.0),Pittsburgh Penguins,MET,0.3783555424219248
17/10/2022 (v6.0),San Jose Sharks,PAC,0.6260798643761889
17/10/2022 (v6.0),Seattle Kraken,PAC,0.2451492035260649
17/10/2022 (v6.0),St. Louis Blues,CEN,0.9750997787763934
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.4487461403471579
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.5241535935434747
17/10/2022 (v6.0),Vancouver Canucks,PAC,0.012638315042734249
17/10/2022 (v6.0),Vegas Golden Knights,PAC,0.7386315854739038
17/10/2022 (v6.0),Washington Capitals,MET,0.23039610481921902
17/10/2022 (v6.0),Winnipeg Jets,CEN,0.33308271429614655
22/10/2022 (v6.0),Anaheim Ducks,PAC,0.08570255206702522
22/10/2022 (v6.0),Arizona Coyotes,CEN,0.562126017453328
22/10/2022 (v6.0),Boston Bruins,ATL,0.7715302903416826
22/10/2022 (v6.0),Buffalo Sabres,ATL,0.4806749729676443
22/10/2022 (v6.0),Calgary Flames,CEN,0.8962005267789008
22/10/2022 (v6.0),Carolina Hurricanes,MET,0.5551122897171235
22/10/2022 (v6.0),Chicago Blackhawks,CEN,0.19555370654257478
22/10/2022 (v6.0),Colorado Avalanche,CEN,0.8682373073850118
22/10/2022 (v6.0),Columbus Blue Jackets,MET,0.16028440346847853
22/10/2022 (v6.0),Dallas Stars,CEN,0.979128202417384
22/10/2022 (v6.0),Detroit Red Wings,ATL,0.8456079893066661
22/10/2022 (v6.0),Edmonton Oilers,PAC,0.7427893563207315
22/10/2022 (v6.0),Florida Panthers,ATL,0.2116919526436566
22/10/2022 (v6.0),Los Angeles Kings,PAC,0.26302733646858395
22/10/2022 (v6.0),Minnesota Wild,CEN,0.8240607986732198
22/10/2022 (v6.0),Montréal Canadiens,ATL,0.16028440346847825
22/10/2022 (v6.0),Nashville Predators,CEN,0.23130249116197793
22/10/2022 (v6.0),New Jersey Devils,MET,0.7029514777992956
22/10/2022 (v6.0),New York Islanders,MET,0.7059128352530418
22/10/2022 (v6.0),New York Rangers,MET,0.533950010984718
22/10/2022 (v6.0),Ottawa Senators,ATL,0.3832944592732067
22/10/2022 (v6.0),Philadelphia Flyers,MET,0.4348130987086167
22/10/2022 (v6.0),Pittsburgh Penguins,MET,0.4806749729676443
22/10/2022 (v6.0),San Jose Sharks,PAC,0.6204807465827376
22/10/2022 (v6.0),Seattle Kraken,PAC,0.39004055380156494
